episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,baseline_none_seed43,price_only,profit,none,1.007258333076418,0.15788354765241727,0.71557,-0.5451661467011644,-0.1962670907942039,0.5948067370926549,-0.32996783418011416,-0.7338829715606723
2,43,baseline_none_seed43,price_only,profit,none,2.496649007671374,0.056322202270597956,0.4311400000000001,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723
3,43,baseline_none_seed43,price_only,profit,none,2.5387452484775928,0.039900787286684364,0.14671,-0.5186638580432299,-0.16563350732790227,0.6098401210689316,-0.2716015257205099,-0.7470435888603686
4,43,baseline_none_seed43,price_only,profit,none,2.817476157353696,0.024958955031945933,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723
5,43,baseline_none_seed43,price_only,profit,none,4.178698654688883,0.011024538039851314,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
6,43,baseline_none_seed43,price_only,profit,none,3.2344777124326956,0.012044553820705744,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723
7,43,baseline_none_seed43,price_only,profit,none,3.258492010983574,0.009027660830113129,0.050000000000000044,-0.5604119401142378,-0.20885631643729374,0.5970056837913376,-0.3498397454291108,-0.7338829715606723
8,43,baseline_none_seed43,price_only,profit,none,2.66399010848233,0.009100833173225955,0.050000000000000044,-0.22432066086344138,-0.10165653098570204,0.19995954404883207,-0.5083854910215064,-0.39235049697366264
9,43,baseline_none_seed43,price_only,profit,none,3.0012369550583995,0.003109967488071209,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723
10,43,baseline_none_seed43,price_only,profit,none,3.252164974205455,0.001649530493315563,0.050000000000000044,-0.5720239710068671,-0.23847827261113763,0.5524416853114774,-0.43168044510739434,-0.7674187882544687
11,43,baseline_none_seed43,price_only,profit,none,3.6232982275298755,0.0032912197939410142,0.050000000000000044,-0.7319853386657608,-0.38739785063976906,0.5822592809227898,-0.6653356388339644,-0.8145968889649077
12,43,baseline_none_seed43,price_only,profit,none,2.2359549941319803,0.0031383687366825404,0.050000000000000044,-0.5945028985914793,-0.23646921796643194,0.6052480095763764,-0.39069805141852654,-0.7660104793292868
13,43,baseline_none_seed43,price_only,profit,none,2.476676442357421,0.005833834896294018,0.050000000000000044,0.053292685509211735,0.048611909601446124,0.20635516974657056,0.2355739847038846,-0.2673804623840095
14,43,baseline_none_seed43,price_only,profit,none,2.3433274986961314,0.011090579258025118,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
15,43,baseline_none_seed43,price_only,profit,none,2.1251256786117305,0.004131408329313072,0.050000000000000044,-0.45610331524130976,-0.21903033701357266,0.3399308603746267,-0.6443379008666247,-0.5396590173133293
16,43,baseline_none_seed43,price_only,profit,none,2.168051262951926,0.0018013107187589649,0.050000000000000044,-0.231203918660992,-0.10311156764587748,0.21378423879871,-0.4823160408142289,-0.34703961577246045
17,43,baseline_none_seed43,price_only,profit,none,3.4279225838206586,0.0012179730612585232,0.050000000000000044,-0.33483475790763706,-0.06704280626373982,0.5190209843651302,-0.12917166797359264,-0.6668116822298128
18,43,baseline_none_seed43,price_only,profit,none,3.5516548233676537,0.0015229416819099266,0.050000000000000044,-0.5346630390678682,-0.22110941355279634,0.5161694401421598,-0.42836595187018417,-0.7387603882892709
19,43,baseline_none_seed43,price_only,profit,none,3.66760000742226,0.0017278005770123305,0.050000000000000044,0.3411950534365431,0.2320179544639931,0.3507555710240471,0.6614804542850338,-0.3272331855765308
20,43,baseline_none_seed43,price_only,profit,none,2.72406996258975,0.0018168944108823896,0.050000000000000044,-0.18455490834467225,-0.0013231611246128372,0.44802240774460506,-0.0029533369352523647,-0.532815895675522
