episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,state_only_decay,price_sentiment,profit,decay,-0.04824605051283437,0.07026866536538225,0.71557,0.14891977221424324,0.10800939138827292,0.2563179109794559,0.42138838825403024,-0.2646429330618987
2,state_only_decay,price_sentiment,profit,decay,0.649040675233914,0.004554098397188521,0.4311400000000001,-0.053199875208167824,-0.010045103351731477,0.186572493817609,-0.05384021591924182,-0.2393162618708511
3,state_only_decay,price_sentiment,profit,decay,0.7634215009459006,0.001225738161021555,0.14671,0.17067415737424385,0.11802239336987008,0.25501904861708696,0.4627983439271692,-0.2647896698075827
4,state_only_decay,price_sentiment,profit,decay,1.2290381009212608,0.0004286951460365739,0.050000000000000044,0.0522853799112275,0.03188964594641286,0.10763877730988017,0.29626540493493425,-0.15250727325129787
5,state_only_decay,price_sentiment,profit,decay,1.2448238080095448,0.00026328753536882356,0.050000000000000044,-0.15640667095312832,-0.07191480016514573,0.14644583402220077,-0.49106757215260666,-0.22904158281603026
6,state_only_decay,price_sentiment,profit,decay,1.5609406214603772,0.00024297891451074177,0.050000000000000044,-0.292328610332403,-0.133818507874498,0.2440537900803038,-0.5483156308716458,-0.4906271833073531
7,state_only_decay,price_sentiment,profit,decay,2.0052113218555454,0.0002491403441697234,0.050000000000000044,-0.21403030158921255,-0.07966773413877759,0.2750797650392144,-0.28961684668961546,-0.47543141465061667
8,state_only_decay,price_sentiment,profit,decay,1.7197622504205157,0.0002340786212769814,0.050000000000000044,-0.13868836917483318,-0.03628628979639725,0.2755445860267496,-0.13168935858850306,-0.42307860953113996
9,state_only_decay,price_sentiment,profit,decay,1.2690727315423507,0.00022231277208006178,0.050000000000000044,0.0018842149661439933,0.047336068382498375,0.30125305388298335,0.15713058431230134,-0.310173726673011
10,state_only_decay,price_sentiment,profit,decay,1.308155394550181,0.00021108156635567363,0.050000000000000044,-0.15309075380911596,-0.038742883813537854,0.2963026229443482,-0.1307544409447046,-0.3948135657093894
11,state_only_decay,price_sentiment,profit,decay,1.4763542319386134,0.00019229239592080284,0.050000000000000044,-0.0990499996749169,-0.0130809051769607,0.279965110957915,-0.04672334039124987,-0.43629761779395737
12,state_only_decay,price_sentiment,profit,decay,1.7936399288082128,0.00018603430891225367,0.050000000000000044,-0.062371390044354436,-0.012174278404003536,0.20040895259074779,-0.0607471784399994,-0.2594456497555728
13,state_only_decay,price_sentiment,profit,decay,1.9955298439696143,0.00019593579180470766,0.050000000000000044,-0.18335514502206374,-0.09417320120458728,0.07401334432266876,-1.2723813802282673,-0.21439000339388992
