episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
11,both_decay,price_sentiment,differential_sharpe,decay,15943.327609863221,28461.086475599983,0.050000000000000044,-0.26420097216100424,-0.12070990693236328,0.22583146949067653,-0.5345132244173206,-0.3342589534228334
12,both_decay,price_sentiment,differential_sharpe,decay,907.282150089033,20741.778659807616,0.050000000000000044,-0.17531753344632783,-0.07914673464977284,0.16914232859593897,-0.46792979206786867,-0.2552335169010992
13,both_decay,price_sentiment,differential_sharpe,decay,158.05288966859058,20362.3097770102,0.050000000000000044,0.022658962774674496,0.04749519872233576,0.2657122239314393,0.17874675850287855,-0.25354204487477194
14,both_decay,price_sentiment,differential_sharpe,decay,6131.499697263995,32472.25625858788,0.050000000000000044,0.07398048012667213,0.03730951744984834,0.040411157218819736,0.9232479349161785,-0.027972789512705765
15,both_decay,price_sentiment,differential_sharpe,decay,387.9317582609185,25643.931805378947,0.050000000000000044,-0.0805995376256966,-0.01106504312180856,0.2494621053519475,-0.04435560706183296,-0.2972963148371387
16,both_decay,price_sentiment,differential_sharpe,decay,11283.51943517712,37051.883100988554,0.050000000000000044,-0.006204528485160954,0.028581226867705922,0.2505188221030792,0.11408814167242814,-0.2717083705174176
17,both_decay,price_sentiment,differential_sharpe,decay,11287.496533866615,42283.81880077027,0.050000000000000044,-0.17147478402422311,-0.07497085234885059,0.18185939391671685,-0.4122462454877847,-0.2222102410223329
18,both_decay,price_sentiment,differential_sharpe,decay,15953.087360484831,53622.16904106252,0.050000000000000044,-0.0540353104685406,0.01834504253209812,0.30370639121508197,0.060403873816097395,-0.3469784543123491
19,both_decay,price_sentiment,differential_sharpe,decay,-345.01366333830424,57494.486204958135,0.050000000000000044,0.004437327605470998,0.04573795331962849,0.2918935106404287,0.15669397109677832,-0.3742964786768319
20,both_decay,price_sentiment,differential_sharpe,decay,-368.24764153785566,44780.40425280367,0.050000000000000044,-0.012935385869167426,0.00679768155506455,0.16310723453730147,0.04167614989211265,-0.22626330140523387
21,both_decay,price_sentiment,differential_sharpe,decay,15954.256310675419,76888.74980352902,0.050000000000000044,-0.11334046093780037,-0.030384583113841734,0.243111375673897,-0.1249821528491484,-0.3575151045605882
22,both_decay,price_sentiment,differential_sharpe,decay,11279.698092725805,91400.831093832,0.050000000000000044,0.024717553382763713,0.025174470550069605,0.1592286932754394,0.15810260093337525,-0.20242459448567707
23,both_decay,price_sentiment,differential_sharpe,decay,11293.417290352158,86059.08714840973,0.050000000000000044,-0.25820992468396897,-0.12058877737121176,0.20683660627228273,-0.5830146778393132,-0.34384646503182204
24,both_decay,price_sentiment,differential_sharpe,decay,11280.341281230498,66137.79902934608,0.050000000000000044,-0.1726988571342768,-0.054294682618024614,0.28061702528983584,-0.19348320923132245,-0.4615080757590312
25,both_decay,price_sentiment,differential_sharpe,decay,11280.220255264263,63425.73822569626,0.050000000000000044,0.021791440141011753,0.04147855658024113,0.24441141675140313,0.16970793398914746,-0.3138080174969551
26,both_decay,price_sentiment,differential_sharpe,decay,11279.595814662996,97606.38363282563,0.050000000000000044,-0.2666646921696424,-0.10769009115162342,0.288809710516232,-0.37287558981009716,-0.443403930440896
27,both_decay,price_sentiment,differential_sharpe,decay,11287.480325577773,117097.00956728941,0.050000000000000044,-0.27413019550616635,-0.125870879202303,0.2294748890000959,-0.5485170065917339,-0.47106294059126463
28,both_decay,price_sentiment,differential_sharpe,decay,11282.494842406608,85256.66695172526,0.050000000000000044,-0.08878532523008265,-0.024733648833659472,0.2081122425083442,-0.11884763979066625,-0.3060838560943202
29,both_decay,price_sentiment,differential_sharpe,decay,11705.948186679816,83255.05778553101,0.050000000000000044,-0.2690875040323828,-0.13186034257400436,0.1785503446042006,-0.7385051138730885,-0.32344791177367294
30,both_decay,price_sentiment,differential_sharpe,decay,11291.772418776665,82879.67993757555,0.050000000000000044,-0.07061169567935777,-0.00596062176356571,0.2482118513965287,-0.024014251253633212,-0.37663158776108663
31,both_decay,price_sentiment,differential_sharpe,decay,11285.775178033908,79399.53465071751,0.050000000000000044,-0.09607563224381344,-0.03143105282408176,0.1939362246444047,-0.16206901460370668,-0.3515166983131819
32,both_decay,price_sentiment,differential_sharpe,decay,11286.336402355311,114221.28555439628,0.050000000000000044,-0.020691560097125694,0.028536738179562038,0.2782807180633564,0.10254658812927547,-0.3863314884463346
33,both_decay,price_sentiment,differential_sharpe,decay,-342.58137164174406,86350.9232115976,0.050000000000000044,-0.303674045103565,-0.14609732798711617,0.2181622033905226,-0.6696729576277415,-0.39348884109243765
34,both_decay,price_sentiment,differential_sharpe,decay,-339.75784847124964,49922.76373197257,0.050000000000000044,-0.33012370043156947,-0.16564225309493452,0.2000454831201513,-0.8280229601357532,-0.41909386913202495
35,both_decay,price_sentiment,differential_sharpe,decay,-334.2316407437628,38423.68910880213,0.050000000000000044,0.11908629609663524,0.0643231426316635,0.10934232690057324,0.5882730362063135,-0.07240680619760864
36,both_decay,price_sentiment,differential_sharpe,decay,11284.932614921516,37661.31838624021,0.050000000000000044,-0.4466747798877887,-0.2404771918307942,0.20962685269702735,-1.1471678782410317,-0.49197612881281316
37,both_decay,price_sentiment,differential_sharpe,decay,11282.635903202912,47858.255744035356,0.050000000000000044,-0.022336516889339353,0.015746220591861704,0.23243198502751003,0.06774549806472643,-0.3283643845403398
38,both_decay,price_sentiment,differential_sharpe,decay,11292.111287289801,48873.45198079311,0.050000000000000044,-0.045190229510763125,-0.004937688727867373,0.19162883100093706,-0.02576694071594701,-0.21534092341238587
39,both_decay,price_sentiment,differential_sharpe,decay,11288.419590522706,46117.17023552756,0.050000000000000044,-0.031851816847450865,0.0256334901786055,0.28848304748413417,0.08885614042889392,-0.30278162513987505
40,both_decay,price_sentiment,differential_sharpe,decay,11286.94525087714,61387.94552034642,0.050000000000000044,0.493655164487665,0.24269756454981084,0.17842089316238333,1.3602530524770349,-0.19473312370835028
41,both_decay,price_sentiment,differential_sharpe,decay,11287.37768735285,63848.301739316805,0.050000000000000044,-0.039532121241233065,-0.010524489772770429,0.1395144029353139,-0.07543658254158983,-0.28814414171222213
42,both_decay,price_sentiment,differential_sharpe,decay,11285.36491639367,68240.48563830789,0.050000000000000044,0.09980986656497604,0.07478956004054327,0.2211689641958606,0.3381557639086824,-0.31317250061805824
43,both_decay,price_sentiment,differential_sharpe,decay,11285.278924610251,65281.35683109835,0.050000000000000044,-0.14481919167338242,-0.06979887007352459,0.11083235282456537,-0.629769812646746,-0.2541589148583391
44,both_decay,price_sentiment,differential_sharpe,decay,11280.97030853781,65401.83413617537,0.050000000000000044,0.13152334207746597,0.07712518093736764,0.15709624724176824,0.4909422235826767,-0.1845968557666886
45,both_decay,price_sentiment,differential_sharpe,decay,11286.870136355255,60103.49449795566,0.050000000000000044,0.254521911323665,0.1523301341694243,0.23685558281533098,0.6431350798608426,-0.2495309947732295
46,both_decay,price_sentiment,differential_sharpe,decay,11290.06729138402,64003.34421081492,0.050000000000000044,-0.13622575302743412,-0.054924268781074814,0.18458799806251436,-0.29755059569189124,-0.34205205728651367
47,both_decay,price_sentiment,differential_sharpe,decay,-335.4263203140631,60955.695450921914,0.050000000000000044,0.033146940614658504,0.03702915183400979,0.20005592899388375,0.18509399856448078,-0.23057055102777102
48,both_decay,price_sentiment,differential_sharpe,decay,-330.0109196031791,45432.89386453086,0.050000000000000044,-0.0808904205316252,-0.021654805464258686,0.2023724758019149,-0.1070046970490924,-0.2848111041284517
49,both_decay,price_sentiment,differential_sharpe,decay,11709.410206643943,34109.41227917639,0.050000000000000044,0.43792247233811255,0.22650241773659885,0.20938558400375848,1.0817479093142015,-0.2374607256023621
50,both_decay,price_sentiment,differential_sharpe,decay,-336.090574421998,32079.26053591217,0.050000000000000044,0.16523670950954839,0.094838857422467,0.16702245985124714,0.5678209835188154,-0.16838338795032914
