episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
39,46,reward_only_none_seed46,price_only,differential_sharpe,none,2750.9568694773584,9353.397408870871,0.050000000000000044,-0.1450045228089808,0.015055894069149867,0.4322832875859276,0.034828767388230604,-0.4773037099826718
40,46,reward_only_none_seed46,price_only,differential_sharpe,none,3498.3629852107915,13379.672564821556,0.050000000000000044,-0.33911486751666087,-0.15858003923834718,0.26581923685782116,-0.5965709672214843,-0.39464361541301407
41,46,reward_only_none_seed46,price_only,differential_sharpe,none,1197.889039955701,10852.048048478508,0.050000000000000044,0.13159864948132127,0.14357622379702084,0.3802523520020115,0.3775814220243438,-0.4579922137138782
42,46,reward_only_none_seed46,price_only,differential_sharpe,none,507.7962381783692,5304.49221023085,0.050000000000000044,-0.3557932088611033,-0.10481970472550939,0.4681905429855379,-0.22388257579296555,-0.6231591372894518
43,46,reward_only_none_seed46,price_only,differential_sharpe,none,6537.45265778661,12015.369124383511,0.050000000000000044,-0.25338584771301187,-0.020816727402356405,0.5026631815147674,-0.04141287479943435,-0.5584377375730214
44,46,reward_only_none_seed46,price_only,differential_sharpe,none,1958.8082401977608,9404.569818983096,0.050000000000000044,0.3954389988029203,0.24994273669393374,0.33633131374102926,0.7431444129118063,-0.2901450359523251
45,46,reward_only_none_seed46,price_only,differential_sharpe,none,6537.378727051289,9542.948836379117,0.050000000000000044,-0.590527279217145,-0.2650975302481001,0.5297686171113525,-0.5004024807916831,-0.730613725936774
46,46,reward_only_none_seed46,price_only,differential_sharpe,none,3503.178235785093,10314.775827059804,0.050000000000000044,-0.5977321038449468,-0.25982386784709177,0.5594121739437904,-0.464458729983232,-0.6868562878883075
47,46,reward_only_none_seed46,price_only,differential_sharpe,none,716.7090588468316,11165.642265669449,0.050000000000000044,-0.19713221272824388,-0.08846685060400505,0.18770266468947377,-0.4713137703738002,-0.24899065818129962
48,46,reward_only_none_seed46,price_only,differential_sharpe,none,2291.5356270680604,11883.365075921685,0.050000000000000044,-0.5133559154189968,-0.17844800892162405,0.5748841911590413,-0.3104068813613567,-0.7162476113867504
49,46,reward_only_none_seed46,price_only,differential_sharpe,none,404.22467501431186,9836.102255791366,0.050000000000000044,-0.5780507024772812,-0.2322269469443755,0.5814739903992888,-0.39937632770970377,-0.7146119210418744
50,46,reward_only_none_seed46,price_only,differential_sharpe,none,402.1014433020904,8971.831244636553,0.050000000000000044,-0.44112094852203254,-0.12652704070837517,0.5611682750730665,-0.22547076577324476,-0.661501539918822
51,46,reward_only_none_seed46,price_only,differential_sharpe,none,6540.9156156208755,7439.315262855593,0.050000000000000044,-0.2339532517359375,-0.0061422824492199934,0.5070854173382273,-0.01211291478556378,-0.6399266105593
52,46,reward_only_none_seed46,price_only,differential_sharpe,none,6527.207431582326,12832.611332747565,0.050000000000000044,0.08777732278887629,0.1568249856326669,0.4572421661260717,0.3429801476126915,-0.48273127623227097
53,46,reward_only_none_seed46,price_only,differential_sharpe,none,394.80402414710585,11095.906023623967,0.050000000000000044,0.3308113580537395,0.2799297381105179,0.45759269071921754,0.6117443389896386,-0.4566283354241649
54,46,reward_only_none_seed46,price_only,differential_sharpe,none,3488.750596193853,5257.313676207282,0.050000000000000044,-0.518855451724203,-0.1831641334463726,0.5748068468521998,-0.3186533606017912,-0.7194542805158146
55,46,reward_only_none_seed46,price_only,differential_sharpe,none,510.5062850501414,8533.588753910008,0.050000000000000044,-0.3549963666395779,-0.061043409875638055,0.5618768623965505,-0.10864197115231276,-0.6561256038967639
56,46,reward_only_none_seed46,price_only,differential_sharpe,none,515.0355004105011,10192.18903866924,0.050000000000000044,-0.43563483020868254,-0.10971937787156305,0.5852255042514004,-0.18748222193752845,-0.6645497464785908
57,46,reward_only_none_seed46,price_only,differential_sharpe,none,400.371064183453,10343.563078923033,0.050000000000000044,-0.4885921545900169,-0.14983703992342567,0.5908999170572402,-0.2535743119911642,-0.6645497464785907
58,46,reward_only_none_seed46,price_only,differential_sharpe,none,719.5597766678274,3614.596629032192,0.050000000000000044,-0.3123708816960843,-0.03471984545681095,0.5539256607424956,-0.0626796119361425,-0.6334004406024343
59,46,reward_only_none_seed46,price_only,differential_sharpe,none,6534.446654021261,6878.407356136488,0.050000000000000044,-0.3130084306866281,-0.019064862010257255,0.5829283597717408,-0.03270532594729573,-0.6248849343685321
60,46,reward_only_none_seed46,price_only,differential_sharpe,none,713.3231866504194,4407.021349115298,0.050000000000000044,-0.3409437680313244,-0.12900350376584302,0.376030521895049,-0.3430665763930945,-0.5786112415830248
61,46,reward_only_none_seed46,price_only,differential_sharpe,none,88.89231878726756,5000.412552654504,0.050000000000000044,-0.3312627628898491,-0.047205707545521225,0.5532548667001385,-0.08532361916141354,-0.6645497464785907
62,46,reward_only_none_seed46,price_only,differential_sharpe,none,6532.565097846942,7686.961569390181,0.050000000000000044,-0.13107827822689,0.029773680459452168,0.44669934261024397,0.06665261758719539,-0.5643834529568872
63,46,reward_only_none_seed46,price_only,differential_sharpe,none,3483.3609994056765,14243.101589370426,0.050000000000000044,0.24109855713984407,0.14020644483690647,0.21562317628740343,0.6502382872332135,-0.1793566874275856
64,46,reward_only_none_seed46,price_only,differential_sharpe,none,3483.661311633783,8858.692256701097,0.050000000000000044,0.5597974309636233,0.27944756051267183,0.21814788396484966,1.2810005553741675,-0.10700364594940048
65,46,reward_only_none_seed46,price_only,differential_sharpe,none,104.83628752437602,10656.224901349726,0.050000000000000044,-0.14714153090220605,0.026742163796367624,0.4608301667035636,0.058030410612354616,-0.5263405365296971
66,46,reward_only_none_seed46,price_only,differential_sharpe,none,6538.992721976674,10044.35615842117,0.050000000000000044,-0.40514799363093734,-0.0774463534766987,0.6008761564637622,-0.12888904417922156,-0.6651096312638098
67,46,reward_only_none_seed46,price_only,differential_sharpe,none,716.6758147155635,9811.95451629992,0.050000000000000044,-0.38230527584824725,-0.08590385655063937,0.550197706032036,-0.15613270576892863,-0.6651096312638097
68,46,reward_only_none_seed46,price_only,differential_sharpe,none,401.6905174002465,10013.194647818784,0.050000000000000044,-0.38230527584824725,-0.08590385655063937,0.550197706032036,-0.15613270576892863,-0.6651096312638097
69,46,reward_only_none_seed46,price_only,differential_sharpe,none,3492.2668246068397,7322.421155958213,0.050000000000000044,-0.4894457222015509,-0.1505831637446362,0.5908387096332183,-0.25486340229487575,-0.6651096312638097
70,46,reward_only_none_seed46,price_only,differential_sharpe,none,712.5767249160489,5535.41263439463,0.050000000000000044,-0.38230527584824725,-0.08590385655063937,0.550197706032036,-0.15613270576892863,-0.6651096312638097
71,46,reward_only_none_seed46,price_only,differential_sharpe,none,-344.71121203047875,3930.970624836947,0.050000000000000044,0.16628455925225372,0.18631693088186552,0.4329162753530529,0.4303763602556173,-0.4189185452728641
72,46,reward_only_none_seed46,price_only,differential_sharpe,none,2280.444417403714,4479.446328384325,0.050000000000000044,-0.34190272239100006,-0.06236118041683392,0.5390457035275653,-0.11568811328749407,-0.6566995490358225
