seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,train,double_dqn,3.8015294498782115,0.35298538896034537,0.27616919385282124,1.278149036233425,-0.3207760174951888
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,validation,double_dqn,1.649718125637535,0.4800988073812782,0.41849418539757394,1.1472054430700853,-0.6816454401268646
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,test,double_dqn,0.11748269137596368,0.11001101863294194,0.31185904794933145,0.35275878431725255,-0.3161776797154512
