dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,0.2662202358277306,0.06016831763352615,0.1925728898389689,0.31244438240418687,-0.3753533892217452,shared_baselines,heuristic_reference,profit,none,,,,
train,random,-0.3030998588181504,-0.04846059145784576,0.14877082828521673,-0.3257398780151932,-0.5373257038461188,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.15144052184713197,0.05850456755890088,0.15981461512375206,0.3660777051810813,-0.20888080663938247,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.02912871549562346,-0.003519912609768694,0.10678683319157525,-0.03296204695436544,-0.21448847674754956,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,0.24937988302688763,0.13341307615761444,0.160169488161831,0.832949381862402,-0.1671004027663947,shared_baselines,heuristic_reference,profit,none,,,,
test,random,-0.3047079589041589,-0.1623657306347127,0.11264686093305182,-1.4413693314650797,-0.3688275832600524,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,-0.1691163379727415,-0.017954116929319475,0.16130738445621498,-0.11130375084714682,-0.44732516069046746,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.145389599350922,0.05193588762463541,0.1283494727564432,0.4046443394682991,-0.1809375869348917,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.12379057551546202,0.06920973699321964,0.12665304764835572,0.5464514141450125,-0.1417864370737003,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,0.11412312718236217,0.026939579423913562,0.12960830048883307,0.20785381277516754,-0.21519562399740544,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.20931784973655732,0.06808250418363304,0.1142340032286538,0.5959915809599817,-0.0973234439100733,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.1052670627759964,0.05804572627110138,0.10872394578989963,0.5338817116081321,-0.12103628558339385,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
train,double_dqn,0.10045886554808914,0.02575446498529299,0.1359763177234854,0.18940404782593082,-0.25323983807122974,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.07183960686217428,0.02938604044104043,0.12050924184850367,0.24384885333510464,-0.19913728387748175,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.03336913538201758,0.024949470723256928,0.12729205094380852,0.19600179695643807,-0.1275291223418915,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,0.0718110662095468,0.01946908657757196,0.12344766070681469,0.1577112637542042,-0.22056826998032508,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.21552077113746337,0.0683710788571128,0.1018204082530802,0.6714869840943157,-0.12606679274831378,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,-0.015338905106412115,-0.002551825100655103,0.10266709809250556,-0.0248553348450138,-0.14140476032182525,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,-0.4163105674366866,-0.07698613599586912,0.1447133365852519,-0.5319906085540078,-0.4750266306725377,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,-0.049568676308750725,-0.009618414717418644,0.11136243759093269,-0.08637036801178813,-0.14277117952792606,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,-0.0395335144234481,-0.013886903284574759,0.11297555345321576,-0.12291954197263973,-0.12952428133540694,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
