episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,12.2276752423736,1.6921239224238656,0.71557,-0.6174393935691914,-0.19505934428868377,0.4055813605680779,-0.4809376447070292,-0.7758877156632975,sharpe_ratio
2,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,20.372706708579308,1.5888004128982325,0.4311400000000001,-0.2688727054549952,0.047743284828488664,0.5361821865294908,0.08904302684412795,-0.743455592071887,sharpe_ratio
3,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,33.00608098705105,1.6000116424474544,0.14671,-0.3730933519462426,0.01198597355680553,0.5617956062791017,0.02133511444881408,-0.780560907320949,sharpe_ratio
4,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,39.93374088378274,1.5515199916396207,0.050000000000000044,-0.4556128528643314,-0.03090510494574117,0.5630504435374615,-0.054888696564333594,-0.7886281864220962,sharpe_ratio
5,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,23.067223451359183,1.5681948248911637,0.050000000000000044,-0.6407702684679724,-0.16942261023304628,0.516151240790835,-0.32824218338303496,-0.7544736138791005,sharpe_ratio
6,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,33.29560176740195,1.5491285575336031,0.050000000000000044,-0.5739582711198643,-0.14612343758891577,0.4646223935682238,-0.314499343147694,-0.80615406406096,sharpe_ratio
7,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,19.440754907805076,1.5797409042168555,0.050000000000000044,-0.47487754165597706,-0.08049267000469307,0.4832370989984682,-0.1665697235818979,-0.7204514469066376,sharpe_ratio
8,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,9.476807032951651,1.6355490029136897,0.050000000000000044,-0.2191646940322689,0.06536131262132505,0.5294990031992791,0.12343991627256388,-0.7440331385875982,sharpe_ratio
9,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,12.603725142492031,1.6361821371870353,0.050000000000000044,-0.1769836734325576,0.0818521947383315,0.5273854376426929,0.15520374454060468,-0.7659621804644159,sharpe_ratio
10,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,15.886390198903714,1.7191195284914158,0.050000000000000044,-0.16334933407372454,0.08823231330866288,0.5290445447453791,0.16677671886991619,-0.7600807436426611,sharpe_ratio
11,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,45.23779529267474,1.650010882534022,0.050000000000000044,-0.5394420297002933,-0.09632769747026237,0.529412884309736,-0.1819519326505573,-0.8173444903894213,sharpe_ratio
12,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,38.693079797969915,1.6696176760660144,0.050000000000000044,0.2064840735953133,0.20541035587196532,0.5062220041057107,0.40577129047332156,-0.6902350892823641,sharpe_ratio
13,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,29.444774704156924,1.5960976580977837,0.050000000000000044,0.17774087701299668,0.18073778358418835,0.47911036028018916,0.3772362248198742,-0.6577765279604204,sharpe_ratio
14,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,34.50202077035498,1.6442544782408572,0.050000000000000044,-0.24785872466671965,0.03817971640526663,0.502302106194088,0.07600946907141597,-0.7811610753083397,sharpe_ratio
15,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,33.187434560774385,1.6585436844395731,0.050000000000000044,-0.42141252775136195,-0.052548841569854066,0.48254365617620876,-0.10889966306108684,-0.7280905822868087,sharpe_ratio
16,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,23.725992911407847,1.6419160110041071,0.050000000000000044,-0.127645326744672,0.0875937346253377,0.5038376435760136,0.17385309681038652,-0.7250135255912574,sharpe_ratio
17,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,30.96663950794581,1.6423587685596488,0.050000000000000044,-0.08814670880431119,0.12764528236211237,0.5459495506108658,0.23380417150135832,-0.7430000879818355,sharpe_ratio
18,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,32.829344605536804,1.6647480865996442,0.050000000000000044,-0.37900734135535086,-0.005827416774107141,0.5346248015000619,-0.010900012041634525,-0.767992211190741,sharpe_ratio
19,42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,35.68381500855065,1.6369440082159532,0.050000000000000044,0.24098941249588202,0.21836228168209093,0.5108563328904122,0.4274436228412843,-0.70246202184497,sharpe_ratio
