dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant
train,buy_and_hold,0.3668038038967263,0.11002215796235704,0.32065061084667207,0.3431216228525046,-0.3557762549445651,shared_baselines,heuristic_reference,profit,none
train,random,-0.44016936075881175,-0.06740226033120345,0.23483470393580314,-0.28702001536207883,-0.6194775657142676,shared_baselines,heuristic_reference,profit,none
validation,buy_and_hold,-0.15039254442083416,0.016864340395700728,0.36692689696779224,0.0459610362038437,-0.6352183000399576,shared_baselines,heuristic_reference,profit,none
validation,random,-0.13485947126625308,-0.010113376415795683,0.26449224301551416,-0.03823694903295319,-0.5371978293393899,shared_baselines,heuristic_reference,profit,none
test,buy_and_hold,0.08863748935715599,0.2651224882196088,0.6197515779566191,0.4277883230144299,-0.5927673186354385,shared_baselines,heuristic_reference,profit,none
test,random,-0.33628173334035627,-0.09691304457066863,0.45223604331544087,-0.2142974802719792,-0.6892597133697669,shared_baselines,heuristic_reference,profit,none
