Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,volume_change_1,news_count,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,sentiment_mean_3,sentiment_mean_7,sentiment_diff_1,sentiment_window_spread_3_7
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.023313522338867,185859200,AAPL,0.005160158569225137,0.005146890574725651,0.03338517757933612,0.0201917455142429,57.671288449604816,-0.433883739117558,-0.9009688679024191,0.38541335945432564,0.9227440286201427,-0.13628421232647536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.049888610839844,222460000,AAPL,0.001062091641194307,0.0010615280209094538,0.06447057387408095,0.01818341349560375,66.4426196904218,0.0,1.0,0.4324994021339788,0.901634220265486,0.19692756667412747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.17281150817871,382274800,AAPL,-0.035013254976999475,-0.03564091346494769,0.02710330505852676,0.021051104587972408,55.811130969699484,0.7818314824680298,0.6234898018587336,0.44794493940789115,0.8940611451454876,0.718397914231772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,29.407499313354492,29.530000686645508,28.82749938964844,28.82749938964844,25.539371490478516,585908400,AAPL,0.0565328770702791,0.05499267644476593,0.07016239033497684,0.02549680992337544,62.830950162403006,0.9749279121818236,-0.22252093395631434,0.4632579225674917,0.88622350294858,0.5326890498667451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,29.079999923706055,29.79750061035156,28.88999938964844,29.725000381469727,26.334497451782227,337745600,AAPL,0.03113350137277493,0.03065868391955324,0.06265083720144338,0.024830970390036303,62.12383154324567,0.43388373911755823,-0.900968867902419,0.4784338202547012,0.8781236129591848,-0.4235522139638209,1.0,0.21055,1.0,0.0,0.07018333333333333,0.042109999999999995,0.21055,0.02807333333333334
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,25.949119567871097,334982000,AAPL,-0.014634128187044793,-0.014742263313164887,0.04597805042102654,0.02535357418199981,58.43432762007673,-0.433883739117558,-0.9009688679024191,0.49346814167723735,0.8697638720650646,-0.00818249001615412,1.0,-0.104589,0.734611,0.0,0.03532033333333333,0.017660166666666664,-0.315139,0.017660166666666664
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.274696350097656,250956400,AAPL,0.0125468892570888,0.012468829303636388,0.08585809842945502,0.024093948900331442,66.0396681578429,0.0,1.0,0.5376773767406141,0.8431506618282,-0.2508361643312178,0.0,0.0,0.0,0.0,0.03532033333333333,0.015137285714285712,0.104589,0.020183047619047614
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.279132843017575,207662800,AAPL,0.00016862743761336674,0.00016861322160512563,0.07648339876440091,0.024130997356630154,64.89925774542634,0.7818314824680298,0.6234898018587336,0.5521013427459208,0.8337770129585915,-0.17251442880117818,0.0,0.0,0.0,0.0,-0.034863,0.015137285714285712,0.0,-0.05000028571428571
2015-02-04,29.625,30.127500534057617,29.57749938964844,29.88999938964844,26.48067283630371,280598800,AAPL,0.007669582983666379,0.00764032125370316,0.08888883638951506,0.02398319642818617,66.95621077276917,0.9749279121818236,-0.22252093395631434,0.5663619330814524,0.8241566360566663,0.35122323304896197,1.0,0.348256,0.71044,0.0,0.11608533333333333,0.06488814285714285,0.348256,0.05119719047619048
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.98500061035156,26.669679641723633,168984800,AAPL,0.003178361413283204,0.003173321099781165,0.12282346736626826,0.02201285307243835,75.05730059901528,0.43388373911755823,-0.900968867902419,0.580454927809098,0.8142923779467267,-0.39777076737320327,1.0,0.239573,0.614884,0.0,0.195943,0.09911285714285714,-0.108683,0.09683014285714286
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.445098876953125,174826400,AAPL,-0.00842089474463592,-0.008456550790427352,0.12208701483359041,0.022050580855617098,74.5447688577153,-0.433883739117558,-0.9009688679024191,0.5943761565849831,0.804187157621448,0.03456878961894794,0.0,0.0,0.0,0.0,0.195943,0.09911285714285714,-0.239573,0.09683014285714286
2015-02-09,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.62076187133789,155559200,AAPL,0.0066425705330883655,0.0066206058756499014,0.10117733514065952,0.021483332249378567,72.52252421130115,0.0,1.0,0.6350683134867438,0.7724559775191742,-0.11020761166505744,0.0,0.0,0.0,0.0,0.07985766666666667,0.06903428571428571,0.0,0.01082338095238096
2015-02-10,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.13218879699707,248034000,AAPL,0.01921145505272137,0.01902924503155139,0.1138292400176113,0.021726105907455356,74.08265268444859,0.7818314824680298,0.6234898018587336,0.6482618097757122,0.7614175109532997,0.5944669296319343,0.0,0.0,0.0,0.0,0.0,0.08397557142857144,0.0,-0.08397557142857144
2015-02-11,30.6924991607666,31.229999542236328,30.625,31.219999313354492,27.76813507080078,294247200,AAPL,0.023438786174676318,0.023168316001039125,0.11103198895122501,0.02157162750959567,74.09266152227374,0.9749279121818236,-0.22252093395631434,0.6612634749656386,0.7501537286959042,0.18631800478966598,0.0,0.0,0.0,0.0,0.0,0.08397557142857144,0.0,-0.08397557142857144
2015-02-12,31.51499938964844,31.8700008392334,31.392499923706055,31.614999771118164,28.119462966918945,297898000,AAPL,0.012652161000999973,0.012572791177401411,0.11931311140921297,0.021595017316228086,75.0557598254712,0.43388373911755823,-0.900968867902419,0.6740694616546162,0.7386679638813748,0.012407254852382588,1.0,0.336013,0.743467,0.0,0.11200433333333333,0.13197742857142858,0.336013,-0.019973095238095248
2015-02-13,31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,28.257322311401367,217088800,AAPL,0.004902757797490498,0.004890778419184881,0.12360745840445286,0.021520293778305773,75.51095361022095,-0.433883739117558,-0.9009688679024191,0.6866759803451553,0.726963615332308,-0.2712646610584831,0.0,0.0,0.0,0.0,0.11200433333333333,0.08222657142857144,-0.336013,0.02977776190476189
2015-02-17,31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,28.424089431762695,252609600,AAPL,0.005901794060383159,0.005884446694076833,0.171247961754881,0.01755972927195253,88.6316671250401,0.7818314824680298,0.6234898018587336,0.7350336741329412,0.6780306024735382,0.16362336518512244,0.0,0.0,0.0,0.0,0.11200433333333333,0.048001857142857145,0.0,0.06400247619047619
2015-02-18,31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,28.62198829650879,179566800,AAPL,0.0069623670257370485,0.006938241663457554,0.11629523845315481,0.011848565951494965,85.45743274756597,0.9749279121818236,-0.22252093395631434,0.746588114532413,0.6652865452111116,-0.2891529063028484,0.0,0.0,0.0,0.0,0.0,0.048001857142857145,0.0,-0.048001857142857145
2015-02-19,32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,28.561952590942383,149449600,AAPL,-0.0020976093062490264,-0.0020998123699669546,0.08031955676875824,0.010038031200162854,80.62858560653187,0.43388373911755823,-0.900968867902419,0.7579216274973472,0.6523456189565257,-0.16772142734625772,1.0,0.137484,0.747869,0.0,0.045828,0.06764242857142858,0.137484,-0.021814428571428575
