Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,volume_change_1,news_count,mean_overall_sentiment,mean_ticker_sentiment,mean_ticker_relevance,weighted_ticker_sentiment,sentiment_std
2015-01-23,13.352666854858398,13.56666660308838,13.222000122070312,13.419333457946776,13.419333457946776,51579000,TSLA,-0.0016366947705446222,-0.001638035618669716,-0.08216683698738525,0.022846134038288658,30.523117018697434,-0.16475989215186182,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,13.45533275604248,13.907999992370604,13.403332710266112,13.770000457763672,13.770000457763672,48517500,TSLA,0.026131476717216273,0.025795883487269106,-0.016849858252779515,0.02178135058689094,45.81561679590312,-0.059355551678008545,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,13.732000350952148,41715000,TSLA,-0.0027596300325537504,-0.002763444831417415,-0.025085138049642963,0.02169960930225319,43.64204662068985,-0.14020714175297577,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,13.291333198547363,47244000,TSLA,-0.03209052877530916,-0.03261671754106088,-0.054894482226360286,0.02317989436514121,37.927445963576204,0.13254225098885297,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,13.404666900634766,13.732000350952148,13.100000381469728,13.68000030517578,13.68000030517578,53221500,TSLA,0.02924214605280495,0.028822750890941436,-0.02573351748457653,0.024810429974207574,44.93079573201322,0.12652400304800615,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,13.597332954406738,13.83133316040039,13.533332824707031,13.57333278656006,13.57333278656006,45105000,TSLA,-0.007797333058198963,-0.007827891211321575,-0.014806963668427708,0.02439336851340448,47.005864815307326,-0.15250415715453336,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005373,14.062666893005373,62238000,TSLA,0.0360511389604945,0.03541650455001054,0.0431729211777665,0.02545745292055925,58.084822200972596,0.37984702361157296,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,14.214667320251465,14.691332817077637,14.084667205810549,14.557332992553713,14.557332992553713,72393000,TSLA,0.0351758385028933,0.03457130456060133,0.06908197233387336,0.026816599843359556,61.88309375832782,0.16316398341849037,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,14.552666664123535,14.76533317565918,14.453332901000977,14.56999969482422,14.56999969482422,49581000,TSLA,0.0008701251992371262,0.0008697468597585222,0.1342052012296655,0.020232941340870954,76.93748519197908,-0.31511333968753885,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,14.658666610717772,15.031999588012695,14.642666816711426,14.732666969299316,14.732666969299316,52843500,TSLA,0.011164535201251935,0.0111026718029864,0.1517694630120665,0.019858916136417548,79.34299153686756,0.06580141586494825,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,14.800000190734863,14.893333435058594,14.43333339691162,14.490667343139648,14.490667343139648,48658500,TSLA,-0.016426056915829212,-0.016562460365371068,0.12580936298560585,0.021102779253701257,73.33333150110721,-0.0791961168355616,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,14.358667373657228,14.528667449951172,14.13266658782959,14.498666763305664,14.498666763305664,52086000,TSLA,0.0005520394593698796,0.0005518871416418817,0.13312149569210519,0.020827666326725974,75.03429105332194,0.07043990258639288,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,14.50333309173584,14.699999809265137,14.333333015441896,14.419333457946776,14.419333457946776,80857500,TSLA,-0.005471765552931496,-0.005486790495772597,0.10032050239428902,0.020691076659113978,70.7229883550746,0.552384517912683,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,14.147333145141602,14.315999984741213,13.8186674118042,14.186667442321776,14.186667442321776,146536500,TSLA,-0.016135698387415576,-0.016267296304893594,0.05545094637469039,0.020811776376428216,62.146910568499145,0.8122808644838142,0.0,0.0,0.0,0.0,0.0,0.0
