episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,reward_only_none,price_only,differential_sharpe,none,2028.9484676524337,5509.528931161794,0.71557,0.0,0.0,0.0,0.0,0.0
2,reward_only_none,price_only,differential_sharpe,none,5814.864456214378,18346.3682199362,0.4311400000000001,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448
3,reward_only_none,price_only,differential_sharpe,none,-352.38977069344776,7963.182813448753,0.14671,-0.14454017778149786,-0.037381539648434825,0.28371041558222027,-0.1317594899423124,-0.38840945839992846
4,reward_only_none,price_only,differential_sharpe,none,-350.13245986746284,9882.752839319173,0.050000000000000044,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448
5,reward_only_none,price_only,differential_sharpe,none,-347.480876074112,6283.203898085461,0.050000000000000044,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448
6,reward_only_none,price_only,differential_sharpe,none,-347.2531202497998,2026.1512322445353,0.050000000000000044,0.09434231758932832,0.07830506143930238,0.24547858926507793,0.3189893736709776,-0.21857127726588998
7,reward_only_none,price_only,differential_sharpe,none,1822.3239731610759,5633.21640868261,0.050000000000000044,0.10783228872625039,0.10211657791375539,0.30301631633198256,0.3370002617346756,-0.28973871821526687
8,reward_only_none,price_only,differential_sharpe,none,15943.995163389016,13338.493797195699,0.050000000000000044,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448
9,reward_only_none,price_only,differential_sharpe,none,-346.5563966619659,24217.859326647176,0.050000000000000044,0.13622432895612335,0.07787408591876432,0.14816554699238388,0.5255883536998468,-0.08778561391864825
10,reward_only_none,price_only,differential_sharpe,none,1507.5043337814607,16555.67781761836,0.050000000000000044,0.017694149952464322,0.05772182086034383,0.3078719391897287,0.18748646275545192,-0.29807796739121495
