dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant
train,buy_and_hold,3.697822570325248,0.35596865902063657,0.29630598531386987,1.2013549393663696,-0.38729694508624535,shared_baselines,heuristic_reference,profit,none
train,random,-0.33492864562678637,-0.04314884958278642,0.22103565325093907,-0.1952121702909171,-0.5336905213295737,shared_baselines,heuristic_reference,profit,none
validation,buy_and_hold,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448,shared_baselines,heuristic_reference,profit,none
validation,random,0.026993289274213295,0.03434127341394011,0.20201472317391925,0.16999391368308783,-0.2250121630449483,shared_baselines,heuristic_reference,profit,none
test,buy_and_hold,0.9958847398706141,0.45019855470334913,0.21355916390564017,2.108074158326761,-0.16712937513676185,shared_baselines,heuristic_reference,profit,none
test,random,0.028047100342767584,0.026327356972621008,0.15484062263208892,0.17002874649488117,-0.2533779181371687,shared_baselines,heuristic_reference,profit,none
