Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,volume_change_1,news_count,mean_overall_sentiment,mean_ticker_sentiment,mean_ticker_relevance,weighted_ticker_sentiment,sentiment_std
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.02331161499023,185859200,AAPL,0.005160158569225137,0.005146890574725651,0.03338517757933612,0.0201917455142429,57.671288449604816,-0.13628421232647536,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.049882888793945,222460000,AAPL,0.001062091641194307,0.0010615280209094538,0.06447057387408095,0.01818341349560375,66.4426196904218,0.19692756667412747,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.17280960083008,382274800,AAPL,-0.035013254976999475,-0.03564091346494769,0.02710330505852676,0.021051104587972408,55.811130969699484,0.718397914231772,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,29.407499313354492,29.530000686645508,28.82749938964844,28.82749938964844,25.539377212524418,585908400,AAPL,0.0565328770702791,0.05499267644476593,0.07016239033497684,0.02549680992337544,62.830950162403006,0.5326890498667451,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,29.079999923706055,29.79750061035156,28.88999938964844,29.725000381469727,26.334501266479492,337745600,AAPL,0.03113350137277493,0.03065868391955324,0.06265083720144338,0.024830970390036303,62.12383154324567,-0.4235522139638209,1.0,0.132019,0.232347,1.0,0.232347,0.0
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,25.94911766052246,334982000,AAPL,-0.014634128187044793,-0.014742263313164887,0.04597805042102654,0.02535357418199981,58.43432762007673,-0.00818249001615412,1.0,0.088405,-0.14786,0.715257,-0.14786,0.0
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.274694442749023,250956400,AAPL,0.0125468892570888,0.012468829303636388,0.08585809842945502,0.024093948900331442,66.0396681578429,-0.2508361643312178,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.279132843017575,207662800,AAPL,0.00016862743761336674,0.00016861322160512563,0.07648339876440091,0.024130997356630154,64.89925774542634,-0.17251442880117818,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,29.625,30.127500534057617,29.57749938964844,29.88999938964844,26.48067855834961,280598800,AAPL,0.007669582983666379,0.00764032125370316,0.08888883638951506,0.02398319642818617,66.95621077276917,0.35122323304896197,1.0,0.227443,0.314302,0.747881,0.314302,0.0
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.98500061035156,26.669689178466797,168984800,AAPL,0.003178361413283204,0.003173321099781165,0.12282346736626826,0.02201285307243835,75.05730059901528,-0.39777076737320327,1.0,0.314742,0.229293,0.647029,0.229293,0.0
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.44510078430176,174826400,AAPL,-0.00842089474463592,-0.008456550790427352,0.12208701483359041,0.022050580855617098,74.5447688577153,0.03456878961894794,0.0,0.0,0.0,0.0,0.0,0.0
