episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,state_only_decay_seed43,price_sentiment,profit,decay,0.15948701693415712,0.02331092774865959,0.71557,-0.1313768735334261,-0.06483990679698959,0.08229943591827633,-0.7878535991592442,-0.1313768735334261
2,43,state_only_decay_seed43,price_sentiment,profit,decay,1.3515439669046205,0.0023974536134186092,0.4311400000000001,-0.6797872977170938,-0.362394834766132,0.49236458489262874,-0.7360294503008586,-0.734392976068457
3,43,state_only_decay_seed43,price_sentiment,profit,decay,1.6472942775585862,0.0012752062383446278,0.14671,-0.6991485429246008,-0.3921876104066552,0.45610665616632534,-0.859859432228147,-0.7779664894433638
4,43,state_only_decay_seed43,price_sentiment,profit,decay,1.871731219350715,0.0020169392122267905,0.050000000000000044,-0.1459552132926787,0.07149589268594347,0.5442466320389815,0.1313667158914501,-0.5692070415638635
5,43,state_only_decay_seed43,price_sentiment,profit,decay,1.9433048398913615,0.0008580123658412377,0.050000000000000044,-0.5482502500099506,-0.21559852624990272,0.5572407815421916,-0.3869037109115077,-0.6877708689724908
6,43,state_only_decay_seed43,price_sentiment,profit,decay,2.4314842182284186,0.0009078533588065632,0.050000000000000044,0.04492839689321437,0.028860881532536853,0.11172109694916481,0.2583297364657017,-0.13369382629632987
7,43,state_only_decay_seed43,price_sentiment,profit,decay,2.8198645069720976,0.0013008066446623973,0.050000000000000044,-0.2682685948381546,-0.07582183194054748,0.3964404137827214,-0.1912565654371036,-0.40958813043490117
8,43,state_only_decay_seed43,price_sentiment,profit,decay,1.8676907289334492,0.0013725338947566373,0.050000000000000044,-0.5959171317991165,-0.2622202258468369,0.547166743106796,-0.4792327551889548,-0.7106642840648218
9,43,state_only_decay_seed43,price_sentiment,profit,decay,2.0762020390366227,0.001391322247494409,0.050000000000000044,-0.47173823079885335,-0.13549521809093068,0.5912289266179345,-0.22917555618602328,-0.7338829715606722
10,43,state_only_decay_seed43,price_sentiment,profit,decay,2.0911202929405865,0.001143922891288793,0.050000000000000044,-0.6594562257914137,-0.3068700440464508,0.589552439753568,-0.5205135681818601,-0.7758463159261726
11,43,state_only_decay_seed43,price_sentiment,profit,decay,2.8791657225420075,0.0014079674176620438,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723
12,43,state_only_decay_seed43,price_sentiment,profit,decay,2.6635521903108588,0.0012653503944066464,0.050000000000000044,-0.47173823079885335,-0.13549521809093068,0.5912289266179345,-0.22917555618602328,-0.7338829715606722
13,43,state_only_decay_seed43,price_sentiment,profit,decay,2.321841849376749,0.0017110394216646517,0.050000000000000044,-0.4317475551289802,-0.16602841783333322,0.45180557069344995,-0.3674775801867735,-0.5399119859633257
14,43,state_only_decay_seed43,price_sentiment,profit,decay,2.701908828747777,0.0012572954077581249,0.050000000000000044,-0.2224515616104954,-0.031281795961571546,0.435597370871145,-0.07181355548361444,-0.43027962478887594
15,43,state_only_decay_seed43,price_sentiment,profit,decay,3.2547389720505415,0.003181777280594677,0.050000000000000044,-0.6735073591782312,-0.397425822165962,0.32870396991269074,-1.20906912767596,-0.6921989720019245
16,43,state_only_decay_seed43,price_sentiment,profit,decay,2.80607672154825,0.0009938547391490794,0.050000000000000044,-0.5789769191577163,-0.2542549952605032,0.528786499873627,-0.48082731938365825,-0.6636689943442294
17,43,state_only_decay_seed43,price_sentiment,profit,decay,1.9345880143084844,0.0013447643930390141,0.050000000000000044,-0.5108199673819132,-0.15873231378019037,0.6100325267738884,-0.2602030331392891,-0.7344149395005225
18,43,state_only_decay_seed43,price_sentiment,profit,decay,1.6596870282821083,0.0013505304526388658,0.050000000000000044,-0.5453153456765537,-0.1948725350259508,0.5980455019025859,-0.32584901049501264,-0.730969078577393
19,43,state_only_decay_seed43,price_sentiment,profit,decay,2.7826295069918907,0.00262182265571499,0.050000000000000044,-0.6101636503907151,-0.25447406016878227,0.5982416036824048,-0.4253700488270919,-0.7904517528996544
