dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,variant,run_name,state_mode,reward_mode,sentiment_imputation_mode
train,buy_and_hold,3.697822570325248,0.3559686590206365,0.2963059853138698,1.2013549393663696,-0.3872969450862453,both,both_decay,price_sentiment,differential_sharpe,decay
train,random,-0.3349286456267863,-0.0431488495827864,0.221035653250939,-0.1952121702909171,-0.5336905213295737,both,both_decay,price_sentiment,differential_sharpe,decay
validation,buy_and_hold,0.0040181516030985,0.0506665848077632,0.3082006637577535,0.1643947945796355,-0.3075105504121448,both,both_decay,price_sentiment,differential_sharpe,decay
validation,random,0.0269932892742132,0.0343412734139401,0.2020147231739192,0.1699939136830878,-0.2250121630449483,both,both_decay,price_sentiment,differential_sharpe,decay
test,buy_and_hold,0.995884739870614,0.4501985547033491,0.2135591639056401,2.108074158326761,-0.1671293751367618,both,both_decay,price_sentiment,differential_sharpe,decay
test,random,0.0280471003427675,0.026327356972621,0.1548406226320889,0.1700287464948811,-0.2533779181371687,both,both_decay,price_sentiment,differential_sharpe,decay
