episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
22,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,716.9469144860968,294.7510441225532,0.050000000000000044,-0.230583061955987,-0.047928618493246145,0.405631845286848,-0.11815792830405804,-0.5692543446016636
23,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6552.807476655368,4321.618888395662,0.050000000000000044,-0.06049919380498636,-0.01037328934349302,0.2035063333946558,-0.05097280841562953,-0.21008427851813438
24,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,391.1740364842605,4709.89290898222,0.050000000000000044,-0.4720864779510079,-0.16500464208931753,0.528388778871802,-0.31227885353967944,-0.6917083350343116
25,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,715.6471656693616,3359.439593072724,0.050000000000000044,-0.4602611443624217,-0.14856808799502796,0.5439763426037088,-0.27311498011828256,-0.6698886283035077
26,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,716.7497715522454,2407.4039505772694,0.050000000000000044,-0.5468291894055661,-0.22239957891656903,0.5383485887129178,-0.4131144458802823,-0.7237075714645298
27,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,232.03446820480843,4178.883700922798,0.050000000000000044,-0.5480073021619694,-0.21810233381447608,0.5508426844614758,-0.3959430522848842,-0.7244258516956159
28,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,715.4476249196301,4642.902738727325,0.050000000000000044,-0.5529393547841303,-0.21907535377430698,0.5584108659547723,-0.3923192887726699,-0.7274328608956439
29,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,725.8312848274177,3700.501161121932,0.050000000000000044,-0.5797965879700513,-0.24370228851719666,0.5566523657934891,-0.43779978940681824,-0.7274328608956437
30,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,717.4299600605231,256.46248224483145,0.050000000000000044,-0.4904194033103877,-0.17017094796604926,0.5498151035901321,-0.30950577176742267,-0.6694578830005332
31,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,714.5384774881255,266.1947947210205,0.050000000000000044,-0.10845818109461602,-0.027597886076515588,0.24317452895025715,-0.11349003613022689,-0.2922470892707629
32,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-337.3257927436736,167.52049895800505,0.050000000000000044,0.27057943213490376,0.19264767743742217,0.3344819391679189,0.5759583848283893,-0.3661077029448102
33,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-347.8447354251153,157.3098157072115,0.050000000000000044,0.002455152713327635,0.028745531600697927,0.23399206906299935,0.12284831582457849,-0.3463690862487675
34,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,3139.3158568532795,838.1984277281987,0.050000000000000044,-0.24920906469303605,-0.10574787724596124,0.25326684905685476,-0.4175354083637783,-0.5318364168181613
