dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,double_dqn,105.62879279218123,1.3223561884946675,0.33800176919619906,3.912275937606358,-0.20332472308944238,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.570172600491909,0.23234248548304448,0.36916588358451996,0.6293714988694237,-0.5504562356513721,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.24204003308394184,0.15273402239629297,0.25729887471591667,0.593605481426712,-0.3146053956627025,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,117.85919831730928,1.3670293267846856,0.3414862836985997,4.003174921049666,-0.19106329786883702,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.16786667323679505,0.09940698047522223,0.30504182832994126,0.3258798343147256,-0.536293084477835,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.6864938925710704,0.3397144476912606,0.24068626007524352,1.4114409671123678,-0.23214095781821775,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,3.877126173058028,0.38462514567222006,0.34469811534774275,1.1158318788143,-0.36570162591675026,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,1.5732463277848998,0.4274508150068401,0.35331738097631615,1.2098210787866486,-0.3852034380537753,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,-0.10340155693018271,-0.017295175195030765,0.2755821515000185,-0.06275869137711411,-0.3548368801360807,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
train,double_dqn,10.296663028097258,0.5962113938052056,0.34742645137770023,1.7160794506030344,-0.3000262985615647,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,1.3555706931318565,0.38539451901958666,0.3456516196808481,1.1149796415692612,-0.4602122964718539,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.06115305819201233,0.004351914664163958,0.26977767559375826,0.016131485507782494,-0.3957056119378466,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,15.165213923161176,0.678889295643516,0.31713933960796126,2.1406656660215657,-0.22935682932923585,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,0.8023839572946567,0.24775757038838941,0.27523997037226217,0.9001511301330879,-0.26715393031306267,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,0.45613990817870076,0.23261543165305976,0.19694804129628213,1.1811005081442816,-0.12284616417809602,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,75.78176716381336,1.1583158328667773,0.2807968413734486,4.125102786773386,-0.18001502245240064,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,1.5220907868333642,0.37541360676695135,0.2475393197330619,1.5165817178934837,-0.1938190648944461,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,0.07670662963073993,0.04740514730302792,0.1332442028150048,0.35577643380736684,-0.19789500769319823,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,6.114258485655428,0.43332255586797563,0.24495214159610804,1.7690090523171018,-0.2520085768651408,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,2.5765504448214407,0.5423482827692432,0.2707112676936247,2.003419685445238,-0.2342071341407822,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,-0.11514436106248993,-0.03626444077749902,0.2233718637819176,-0.1623500836833448,-0.31379432870558444,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,30.773779750364355,0.870062237783916,0.29855170991506824,2.91427651856836,-0.26760074754976093,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,1.0679270819149895,0.3165186580019237,0.31383955309183925,1.0085365432230922,-0.29277589594728926,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,0.16134230749214584,0.09009693026439392,0.1458351932601546,0.6177996425298419,-0.12625309044287714,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,124.52351152383251,1.3702339910511725,0.3165459186241487,4.328705285498001,-0.21327893173786194,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,1.6176687721409353,0.40894842847358026,0.29430652539647995,1.3895323181253239,-0.22708585640116885,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,1.019039130255205,0.45264223028061834,0.19338013778337115,2.340686253867905,-0.1434392072087458,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,18.84802350011251,0.786322714464101,0.39445061322062525,1.9934630296145406,-0.32863869006135793,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,1.9285440707231447,0.479529791391065,0.33947974891622873,1.4125431426232011,-0.2658433394955263,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
test,double_dqn,0.3270664789788498,0.1885042845636049,0.24351006309001583,0.7741129141505848,-0.24580142517623127,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
