episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-30.926780525371644,2.009557864318291,0.71557,0.0,0.0,0.0,0.0,0.0,cumulative_return
2,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-1.6790726870393735,1.6605242222408174,0.4311400000000001,0.0,0.0,0.0,0.0,0.0,cumulative_return
3,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-4.75356814010586,1.6694453046691362,0.14671,0.0,0.0,0.0,0.0,0.0,cumulative_return
4,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-5.902132893580346,1.6010116106403136,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,cumulative_return
5,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-9.661465646667928,1.6652394333280718,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,cumulative_return
6,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-18.864909677939476,1.670743361941639,0.050000000000000044,-0.020972514047710167,0.0042314629909383505,0.17257739429417204,0.0245192193812214,-0.200974455868712,cumulative_return
7,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,15.79135456678185,1.7823620231930384,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,cumulative_return
8,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-21.47420613182321,1.80734230903442,0.050000000000000044,0.09193788867493136,0.05542991760941929,0.13997760727789924,0.39599132095016887,-0.13056698996224003,cumulative_return
9,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-15.640881876550386,1.9159084895728984,0.050000000000000044,-0.09989293445686309,-0.05098005357555013,0.031547523963467106,-1.6159763800983693,-0.09989293445686309,cumulative_return
10,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-13.118216571514735,2.055161636156007,0.050000000000000044,0.1242570982497535,0.07122912785999236,0.14156824237830118,0.5031434074716603,-0.1305669899622398,cumulative_return
11,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-14.636628571532167,2.1506825608656097,0.050000000000000044,0.07836546875759542,0.05510423138134035,0.17792623254623383,0.309702681795511,-0.13430154978224984,cumulative_return
12,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-12.72597480743198,1.9840747394717846,0.050000000000000044,0.05280196163108841,0.033574308961854094,0.12009261674775004,0.27957013404392417,-0.13794613567030056,cumulative_return
13,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-20.946860139989127,1.8279902176532095,0.050000000000000044,-0.07123694227276178,-0.029655747362799634,0.11823207439131826,-0.2508265842029178,-0.15665854921303912,cumulative_return
14,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-40.90390354809107,1.7789889840818518,0.050000000000000044,0.014364144279585211,0.01353875908601987,0.11223341504580135,0.12063037626089196,-0.11984364128946678,cumulative_return
15,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-6.054151447026959,1.928620601504663,0.050000000000000044,-0.1088732058991283,-0.05441043013639002,0.06168100473152275,-0.8821261970880798,-0.13808958991900933,cumulative_return
16,42,reward_only_none_eta0p005_seed42,price_only,differential_sharpe,none,0.005,20,1e-06,-13.06219333154329,1.9031894028226615,0.050000000000000044,-0.13507379179986345,-0.04426964104704789,0.23441637977815163,-0.18885045954955904,-0.39641564213821345,cumulative_return
