Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,volume_change_1,news_count,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,days_since_last_news,sentiment_mean_3,sentiment_mean_7,sentiment_diff_1,sentiment_window_spread_3_7
2015-01-23,10.503000259399414,10.75,10.425000190734863,10.697999954223633,8.080777168273926,15088000,AVGO,0.016920103489976412,0.016778553006873472,0.0688380599239824,0.020687084856881744,64.52975278048051,-0.433883739117558,-0.9009688679024191,0.38541335945432564,0.9227440286201427,-0.2689568293037453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,10.673999786376951,10.706000328063965,10.461999893188477,10.67300033569336,8.061895370483398,9611000,AVGO,-0.002336849751097936,-0.002339584445688479,0.08366335267503766,0.019931727866815255,68.42579137793743,0.0,1.0,0.4324994021339788,0.901634220265486,-0.3630037115588547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,10.506999969482422,10.597999572753906,10.281999588012695,10.479000091552734,7.915356636047363,15242000,AVGO,-0.018176729882771192,-0.018343956154818663,0.08872728223924509,0.019457975351667135,69.35632529755884,0.7818314824680298,0.6234898018587336,0.44794493940789115,0.8940611451454876,0.5858911663718656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,10.711999893188477,10.833999633789062,10.486000061035156,10.5,7.931215763092041,23302000,AVGO,0.0020039992617419955,0.0020019939338915506,0.0622154534019399,0.01853255457564437,65.63296042851894,0.9749279121818236,-0.22252093395631434,0.4632579225674917,0.88622350294858,0.5288019944889122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,10.463000297546388,10.65999984741211,10.22700023651123,10.652999877929688,8.046785354614258,15842000,AVGO,0.014571416945684534,0.014466274006809441,0.026399477358159507,0.013607994801256311,58.42560214711944,0.43388373911755823,-0.900968867902419,0.4784338202547012,0.8781236129591848,-0.32014419363144797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,10.529000282287598,10.67300033569336,10.26200008392334,10.288000106811523,7.7710862159729,16938000,AVGO,-0.034262627926463285,-0.034863353292877035,-0.019256403118596888,0.016402928526500226,44.62766065377514,-0.433883739117558,-0.9009688679024191,0.49346814167723735,0.8697638720650646,0.06918318394142164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,10.324999809265137,10.348999977111816,9.916000366210938,10.241999626159668,7.7363362312316895,21581000,AVGO,-0.004471275289101073,-0.004481301337768037,-0.0071733577637651535,0.015842222430183933,47.888115146510515,0.0,1.0,0.5376773767406141,0.8431506618282,0.2741173692289527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,10.25,10.371999740600586,10.13599967956543,10.31999969482422,7.795254230499268,15390000,AVGO,0.0076157070407743,0.0075868539424777,0.006043996756131653,0.01590129914249203,51.749418080540394,0.7818314824680298,0.6234898018587336,0.5521013427459208,0.8337770129585915,-0.2868727121078727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,10.29300022125244,10.527999877929688,10.244999885559082,10.479999542236328,7.916106700897217,16658000,AVGO,0.015503861641813055,0.015384904731035697,0.01363766296933,0.016296776440441918,53.80874876926478,0.9749279121818236,-0.22252093395631434,0.5663619330814524,0.8241566360566663,0.0823911630929175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,10.473999977111816,10.621999740600586,10.375,10.619999885559082,8.021860122680664,16585000,AVGO,0.01335881196926847,0.01327036982465635,0.04816422399787945,0.015386593793184451,63.677131962586444,0.43388373911755823,-0.900968867902419,0.580454927809098,0.8142923779467267,-0.004382278784968219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
