Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,volume_change_1,news_count,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,days_since_last_news,sentiment_mean_3,sentiment_mean_7,sentiment_diff_1,sentiment_window_spread_3_7
2020-10-20,9.600000381469728,9.65999984741211,9.270000457763672,9.270000457763672,9.270000457763672,11138200,PLTR,-0.03134788366010066,-0.031849744617109245,-0.024210478130139768,0.03706188193660807,46.52568611259812,0.7818314824680298,0.6234898018587336,-0.9410336347451197,0.3383130181923075,0.22043741234221592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-21,9.300000190734863,9.479999542236328,9.199999809265137,9.199999809265137,9.199999809265137,9190000,PLTR,-0.007551310144748635,-0.007579965636012906,-0.027484167847082297,0.037093957854389736,46.10778118257893,0.9749279121818236,-0.22252093395631434,-0.9350748843515574,0.3544502230989869,-0.17491156560305976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,9.369999885559082,9.75,9.220000267028809,9.68000030517578,9.68000030517578,17928600,PLTR,0.05217396802848229,0.050858469491964556,0.05217396802848229,0.03884845072798513,56.74157920411599,0.43388373911755823,-0.900968867902419,-0.9288394302558068,0.3704825404820963,0.9508813928182807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,9.710000038146973,9.829999923706056,9.470000267028809,9.489999771118164,9.489999771118164,12618000,PLTR,-0.019628153725989472,-0.019823344311284852,0.05094131248613176,0.038901533087430176,56.424579963840316,-0.433883739117558,-0.9009688679024191,-0.9223291176290545,0.3864052261209853,-0.2962082928951507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,9.720000267028809,9.970000267028809,9.600000381469728,9.949999809265137,9.949999809265137,23767300,PLTR,0.04847208105809808,0.04733394349754437,0.005050524511261312,0.031601112089801556,50.78864628531943,0.0,1.0,-0.9011686968561569,0.4334685453485363,0.8836027896655572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27,10.0,11.039999961853027,9.920000076293944,10.949999809265137,10.949999809265137,53695900,PLTR,0.1005025144893803,0.09576690684263253,0.09499998092651363,0.04137042026022277,61.67075746800682,0.7818314824680298,0.6234898018587336,-0.8935790198239952,0.4489059314938798,1.2592343261540013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28,10.65999984741211,10.984999656677246,10.100000381469728,10.850000381469728,10.850000381469728,30941700,PLTR,-0.009132367994271195,-0.009174323698832476,0.08500003814697288,0.041565460238447496,60.19185091029015,0.9749279121818236,-0.22252093395631434,-0.8857249183835637,0.4642104791518923,-0.4237604733322283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,10.899999618530272,11.100000381469728,10.5600004196167,10.75,10.75,20515700,PLTR,-0.009216624696208764,-0.009259360571296449,0.08040203076083752,0.04167128545738292,59.47867464589194,0.43388373911755823,-0.900968867902419,-0.8776087166898392,0.4793776594606945,-0.33695627583487653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,10.609999656677246,10.68000030517578,9.850000381469728,10.130000114440918,10.130000114440918,19705500,PLTR,-0.057674407958984375,-0.05940442501585202,0.02426691231413347,0.04500142259013752,52.510457496258134,-0.433883739117558,-0.9009688679024191,-0.8692328164574792,0.4944029842076182,-0.039491706351720834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,10.229999542236328,10.56999969482422,10.229999542236328,10.539999961853027,10.539999961853027,11677800,PLTR,0.04047382455876081,0.03967620993613904,0.11298834896019794,0.044057273465670656,61.215928638777,0.0,1.0,-0.8425720899866032,0.5385835804920232,-0.4073837253558651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
