Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,volume_change_1,news_count,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,days_since_last_news,sentiment_mean_3,sentiment_mean_7,sentiment_diff_1,sentiment_window_spread_3_7
2015-01-23,6.0988569259643555,6.274285793304443,6.0881428718566895,6.249429225921631,6.249429225921631,267841000,NFLX,0.021053278619557414,0.02083472060220774,0.2536827280420715,0.052791980816317,76.40813513954888,-0.433883739117558,-0.9009688679024191,0.38541335945432564,0.9227440286201427,-0.1961385743397971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,6.257143020629883,6.389856815338135,6.195713996887207,6.379428863525391,6.379428863525391,212688000,NFLX,0.020801841720927472,0.02058843780045937,0.34839062496535456,0.04898876731761996,86.29672984535878,0.0,1.0,0.4324994021339788,0.901634220265486,-0.20591694326111387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,6.308713912963867,6.533999919891357,6.304999828338623,6.488142967224121,6.488142967224121,246127000,NFLX,0.01704135370492299,0.016897778683113596,0.3952566109898661,0.047691398953013685,89.98633360809967,0.7818314824680298,0.6234898018587336,0.44794493940789115,0.8940611451454876,0.15722090573986303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,6.474143028259277,6.482142925262451,6.308143138885498,6.320857048034668,6.320857048034668,245329000,NFLX,-0.025783328147133022,-0.02612154437810706,0.3522615429563809,0.04937221683309501,83.72147437737864,0.9749279121818236,-0.22252093395631434,0.4632579225674917,0.88622350294858,-0.00324222860555734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,6.320428848266602,6.392714023590088,6.25,6.340000152587891,6.340000152587891,151277000,NFLX,0.0030285615396372645,0.0030239846856650724,0.32691509304412536,0.04965620603742603,83.13735360192672,0.43388373911755823,-0.900968867902419,0.4784338202547012,0.8781236129591848,-0.38337090193169177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,6.313285827636719,6.398428916931152,6.265571117401123,6.311429023742676,6.311429023742676,132153000,NFLX,-0.004506487091100908,-0.00451667191408626,0.34167455373646405,0.04911311268842069,84.76608679920878,-0.433883739117558,-0.9009688679024191,0.49346814167723735,0.8697638720650646,-0.1264171024015548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,6.284286022186279,6.3428568840026855,6.195570945739746,6.301000118255615,6.301000118255615,129906000,NFLX,-0.0016523841823822272,-0.0016537508748668429,0.38340186400065,0.0471872973172051,90.1893743773612,0.0,1.0,0.5376773767406141,0.8431506618282,-0.0170030192277133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,6.331999778747559,6.546713829040527,6.2729997634887695,6.527429103851318,6.527429103851318,164402000,NFLX,0.03593540411778129,0.035304790655709246,0.41116187010496863,0.04720789427055789,90.84494493772827,0.7818314824680298,0.6234898018587336,0.5521013427459208,0.8337770129585915,0.2655458562345081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,6.504143238067627,6.517428874969482,6.388999938964844,6.41014289855957,6.41014289855957,124509000,NFLX,-0.01796820822190881,-0.018131596632273476,0.38388232745947914,0.0482515259701714,86.4522783773702,0.9749279121818236,-0.22252093395631434,0.5663619330814524,0.8241566360566663,-0.24265519884186326,1.0,0.12774,0.58692,0.0,0.0,0.04258,0.018248571428571427,0.12774,0.024331428571428573
2015-02-05,6.454143047332764,6.513856887817383,6.366570949554443,6.413000106811523,6.413000106811523,142485000,NFLX,0.00044573238025558126,0.00044563307108728923,0.38655173167465806,0.048174525195194044,86.71162314885457,0.43388373911755823,-0.900968867902419,0.580454927809098,0.8142923779467267,0.1443751054140665,0.0,0.09948401202954125,0.45709375560026894,0.0,1.0,0.0757413373431804,0.03246057314707732,-0.028255987970458737,0.043280764196103085
2015-02-06,6.425000190734863,6.442856788635254,6.31757116317749,6.3480000495910645,6.3480000495910645,88984000,NFLX,-0.010135670690449516,-0.010187386345955321,0.31724671559569484,0.04874035703222394,83.14952576862538,-0.433883739117558,-0.9009688679024191,0.5943761565849831,0.804187157621448,-0.3754851387865389,0.0,0.0774782264716918,0.3559849747985388,0.0,2.0,0.10156741283374433,0.04352889121446186,-0.02200578555784946,0.058038521619282475
2015-02-09,6.319857120513916,6.378571033477783,6.263713836669922,6.329570770263672,6.329570770263672,81732000,NFLX,-0.0029031630723727053,-0.002907385424382872,0.2702693417650026,0.04897475432408405,81.16358675370768,0.0,1.0,0.6350683134867438,0.7724559775191742,-0.08149779735682816,0.0,0.036598122750920684,0.16815539537318278,0.0,5.0,0.07118678708405124,0.04875719446459339,-0.04088010372077111,0.02242959261945785
2015-02-10,6.3460001945495605,6.515714168548584,6.310142993927002,6.485000133514404,6.485000133514404,154189000,NFLX,0.02455606689492118,0.024259413304739064,0.10914292154756411,0.020699030326691393,71.97241321336546,0.7818314824680298,0.6234898018587336,0.6482618097757122,0.7614175109532997,0.8865193559438165,1.0,0.142592,1.0,0.0,0.0,0.08555611640753748,0.06912748017887911,0.10599387724907931,0.016428636228658366
2015-02-11,6.482999801635742,6.614142894744873,6.455714225769043,6.498428821563721,6.498428821563721,139531000,NFLX,0.0020707305740699233,0.002068589566638297,0.06173569045498484,0.017368817197416384,65.85158788932084,0.9749279121818236,-0.22252093395631434,0.6612634749656386,0.7501537286959042,-0.09506514731919913,1.0,-0.122,1.0,0.0,0.0,0.01906337425030689,0.05169890875030768,-0.264592,-0.032635534500000785
2015-02-12,6.505856990814209,6.560713768005371,6.445143222808838,6.52471399307251,6.52471399307251,84644000,NFLX,0.004044850260045418,0.004036691845542833,0.04404958552199334,0.01669833945128281,62.63599839257714,0.43388373911755823,-0.900968867902419,0.6740694616546162,0.7386679638813748,-0.3933677820699343,0.0,-0.0950136955347114,0.7788007830714049,0.0,1.0,-0.02480723184490381,0.03812552367392034,0.026986304465288602,-0.06293275551882414
2015-02-13,6.5428571701049805,6.663000106811523,6.542285919189453,6.658570766448975,6.658570766448975,129689000,NFLX,0.02051534726557902,0.020307742121438738,0.04375656644117276,0.016675285158195087,62.767836384090494,-0.433883739117558,-0.9009688679024191,0.6866759803451553,0.726963615332308,0.53217002977175,0.0,-0.07399674048494127,0.6065306597126334,0.0,2.0,-0.09700347867321757,0.009305989318928726,0.021016955049770122,-0.1063094679921463
2015-02-17,6.651570796966553,6.737143039703369,6.594429016113281,6.713714122772217,6.713714122772217,111706000,NFLX,0.0082815604515456,0.008247456489763477,0.03476667463827532,0.016275195362912737,60.84920957092304,0.7818314824680298,0.6234898018587336,0.7350336741329412,0.6780306024735382,-0.13866249257839913,0.0,-0.027221879538108437,0.22313016014842982,0.0,6.0,-0.06541077185258705,-0.00879485233359266,0.046774860946832836,-0.05661591951899439
