comparison_group,reward_mode,sentiment_variant,differential_sharpe_eta,seed_count,test_cumulative_return_mean,test_cumulative_return_std,test_annualized_return_mean,test_annualized_return_std,test_annualized_volatility_mean,test_annualized_volatility_std,test_sharpe_ratio_mean,test_sharpe_ratio_std,test_max_drawdown_mean,test_max_drawdown_std
sharpe_decay,sharpe,decay,0.001,5,0.03835815413814507,0.3702507320342918,0.0801354806484583,0.1944382941836506,0.38080073932469066,0.0648483815778187,0.1954735800407362,0.5112896194325631,-0.46446537149103334,0.13780082030130134
sharpe_decay,sharpe,decay,0.005,5,0.34286671544564673,0.18057943451527006,0.23616121325203698,0.10588751761122095,0.3584770619393872,0.06113833769054304,0.6358058258419723,0.1803695501655456,-0.3342101427803701,0.06853698638016475
sharpe_decay,sharpe,decay,0.01,5,0.11618956284417452,0.30971984949930936,0.11846833966284738,0.16831827142621014,0.35104167846884804,0.07552805212147826,0.2628432783187473,0.4693779594301824,-0.36697184352381457,0.12444415174329004
sharpe_none,sharpe,none,0.001,5,0.5746373944618786,0.45246605127561534,0.3737098882518496,0.19547070150345852,0.44204967324591504,0.06673098633626232,0.8454879345488633,0.43066753156348847,-0.4478203316965416,0.0847682623660522
sharpe_none,sharpe,none,0.005,5,0.4066375048791082,0.23513072956979603,0.30663019176629536,0.1054195508802871,0.44855860746446724,0.02009460220706249,0.685257059524904,0.2443006717196202,-0.4682298791184465,0.03608568894439211
sharpe_none,sharpe,none,0.01,5,0.17502261487918613,0.35941915396783336,0.17569781393058598,0.18431077969128448,0.4339976575584104,0.04096914181484345,0.4067895929790345,0.4231702003934159,-0.4727473061612654,0.08723319509671013
