dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
validation,double_dqn,1.083812120501312,0.29706423522449565,0.24881005979476148,1.1939398088225939,-0.1722804805515148,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,1.238752274305206,0.5470609280188476,0.24431998823875972,2.23911654532431,-0.19462246952218254,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,12.34302190453464,0.5782306776121213,0.20155239982730463,2.868885104357797,-0.1229755835980405,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,1.0943049975296968,0.2955519171078227,0.2374382798013318,1.2447526041509205,-0.1482862446467229,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.7564399050523014,0.36702028918221274,0.23847870370720498,1.5390065589790618,-0.1545112446994359,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,9.250997962676694,0.5114245812024503,0.2066943795097502,2.474303280115681,-0.15034955729330757,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.8877074971541523,0.2536466201278975,0.2353982023619817,1.0775214830989002,-0.3420864717749098,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
test,double_dqn,0.23183663388095255,0.1415333530340257,0.23313095012764992,0.607098083530006,-0.2959155526048922,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
train,double_dqn,7.038104261134222,0.44901879418985,0.20087564597698143,2.235307281806096,-0.1931795175079939,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,0.705000002157927,0.20250828938365717,0.18948664215334457,1.068720660635142,-0.2837222895801339,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
test,double_dqn,0.24586075381110684,0.13262763422412815,0.1651495722483287,0.803075856743373,-0.1701394037141687,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
train,double_dqn,0.4423548857064057,0.07994557202258168,0.1753425087830924,0.45593947855210865,-0.32453911354858556,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,0.951851097220306,0.2540163368691448,0.1875496001681327,1.354395512661326,-0.20787650171314032,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
test,double_dqn,0.15158833419391637,0.08775974387577778,0.16198514266639913,0.5417765014197314,-0.1340127351777447,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
train,double_dqn,16.637403613670873,0.6601706767410005,0.2185939306221102,3.020077798419102,-0.123881426253728,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,0.8243075743719237,0.2463989177319299,0.25519717871935454,0.9655236745501005,-0.24132260907974812,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
test,double_dqn,1.2498597478309366,0.5541250478995581,0.25176817585559746,2.200933640705164,-0.20513943909613497,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
train,double_dqn,4.749005356458624,0.3758492396227515,0.2221862375614895,1.6915955000081233,-0.23962000738108347,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.7447720467141545,0.22593692866996173,0.24479589398306095,0.9229604508219236,-0.27092923059154406,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.43711161217705685,0.22514662517301143,0.20092773459825342,1.1205353288991322,-0.19907864770158767,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,35.50139124277063,0.8608060993962898,0.1760081721423482,4.8907166577476024,-0.0667836776699281,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.7792249161654077,0.21962904109924697,0.1935375733522047,1.1348134488570876,-0.19763351522588024,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
