Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2015-01-02,78.58000183105469,78.93000030517578,77.69999694824219,78.44999694824219,77.83915710449219,18177500,META
2015-01-05,77.9800033569336,79.25,76.86000061035156,77.19000244140625,76.58897399902344,26452200,META
2015-01-06,77.2300033569336,77.58999633789062,75.36000061035156,76.1500015258789,75.55707550048828,27399300,META
2015-01-07,76.76000213623047,77.36000061035156,75.81999969482422,76.1500015258789,75.55707550048828,22045300,META
2015-01-08,76.73999786376953,78.2300033569336,76.08000183105469,78.18000030517578,77.5712661743164,23961000,META
2015-01-09,78.19999694824219,78.62000274658203,77.19999694824219,77.73999786376953,77.13469696044922,21157000,META
2015-01-12,77.83999633789062,78.0,76.20999908447266,76.72000122070312,76.12263488769531,19190200,META
2015-01-13,77.2300033569336,78.08000183105469,75.8499984741211,76.44999694824219,75.85472106933594,25179600,META
2015-01-14,76.41999816894531,77.19999694824219,76.02999877929688,76.27999877929688,75.68605041503906,25918600,META
2015-01-15,76.4000015258789,76.56999969482422,73.54000091552734,74.05000305175781,73.4734115600586,34134000,META
2015-01-16,74.04000091552734,75.31999969482422,73.83999633789062,75.18000030517578,74.59461975097656,21791500,META
2015-01-20,75.72000122070312,76.30999755859375,74.81999969482422,76.23999786376953,75.64637756347656,22821600,META
2015-01-21,76.16000366210938,77.30000305175781,75.8499984741211,76.73999786376953,76.1424789428711,25096700,META
2015-01-22,77.16999816894531,77.75,76.68000030517578,77.6500015258789,77.04539489746094,19519500,META
2015-01-23,77.6500015258789,78.19000244140625,77.04000091552734,77.83000183105469,77.22398376464844,16746500,META
2015-01-26,77.9800033569336,78.47000122070312,77.29000091552734,77.5,76.89656829833984,19260800,META
2015-01-27,76.70999908447266,76.87999725341797,75.62999725341797,75.77999877929688,75.18994140625,20110000,META
2015-01-28,76.9000015258789,77.63999938964844,76.0,76.23999786376953,75.64637756347656,53306400,META
2015-01-29,76.8499984741211,78.0199966430664,74.20999908447266,78.0,77.39266967773438,61293500,META
2015-01-30,78.0,78.16000366210938,75.75,75.91000366210938,75.3189468383789,42649500,META
2015-02-02,76.11000061035156,76.13999938964844,73.75,74.98999786376953,74.40609741210938,41955300,META
2015-02-03,75.19000244140625,75.58000183105469,73.86000061035156,75.4000015258789,74.81290435791016,26957700,META
2015-02-04,75.08999633789062,76.3499984741211,75.01000213623047,75.62999725341797,75.04112243652344,20277400,META
2015-02-05,75.70999908447266,75.9800033569336,75.20999908447266,75.61000061035156,75.02127075195312,15062600,META
2015-02-06,75.68000030517578,75.69999694824219,74.25,74.47000122070312,73.89014434814453,21211000,META
2015-02-09,74.05000305175781,74.83000183105469,73.44999694824219,74.44000244140625,73.86038208007812,16194300,META
2015-02-10,74.8499984741211,75.33999633789062,74.5,75.19000244140625,74.60454559326172,15811300,META
2015-02-11,75.08999633789062,76.75,75.02999877929688,76.51000213623047,75.91427612304688,20877400,META
2015-02-12,76.86000061035156,76.87000274658203,75.88999938964844,76.2300033569336,75.63644409179688,17235000,META
2015-02-13,76.45999908447266,76.4800033569336,75.5,75.73999786376953,75.1502685546875,18621900,META
2015-02-17,75.30000305175781,76.91000366210938,75.08000183105469,75.5999984741211,75.01134490966797,25254400,META
2015-02-18,75.94000244140625,76.9000015258789,75.44999694824219,76.70999908447266,76.11270141601562,22426400,META
2015-02-19,76.98999786376953,79.83999633789062,76.94999694824219,79.41999816894531,78.80160522460938,45851200,META
2015-02-20,79.55000305175781,80.33999633789062,79.19999694824219,79.9000015258789,79.27787017822266,36931700,META
2015-02-23,79.95999908447266,80.19000244140625,78.37999725341797,78.83999633789062,78.22611999511719,24139100,META
2015-02-24,78.5,79.4800033569336,78.0999984741211,78.44999694824219,77.83915710449219,18897100,META
2015-02-25,78.5,80.19999694824219,78.5,79.55999755859375,78.94051361083984,25593800,META
2015-02-26,79.87999725341797,81.37000274658203,79.72000122070312,80.41000366210938,79.78390502929688,31111900,META
2015-02-27,80.68000030517578,81.2300033569336,78.62000274658203,78.97000122070312,78.35511779785156,30739200,META
2015-03-02,79.0,79.86000061035156,78.5199966430664,79.75,79.12903594970703,21662500,META
2015-03-03,79.61000061035156,79.69999694824219,78.5199966430664,79.5999984741211,78.98020935058594,18635000,META
2015-03-04,79.30000305175781,81.1500015258789,78.8499984741211,80.9000015258789,80.27008819580078,28126700,META
2015-03-05,81.2300033569336,81.98999786376953,81.05000305175781,81.20999908447266,80.57767486572266,27825700,META
2015-03-06,80.9000015258789,81.33000183105469,79.83000183105469,80.01000213623047,79.38701629638672,24488600,META
2015-03-09,79.68000030517578,79.91000366210938,78.62999725341797,79.44000244140625,78.82145690917969,18925100,META
2015-03-10,78.5,79.26000213623047,77.55000305175781,77.55000305175781,76.9461669921875,23067100,META
2015-03-11,77.80000305175781,78.43000030517578,77.26000213623047,77.56999969482422,76.96601867675781,20215700,META
2015-03-12,78.0999984741211,79.05000305175781,77.91000366210938,78.93000030517578,78.31542205810547,16093300,META
2015-03-13,78.5999984741211,79.37999725341797,77.68000030517578,78.05000305175781,77.4422836303711,18557300,META
2015-03-16,77.95999908447266,78.12000274658203,77.36000061035156,78.06999969482422,77.46211242675781,19305400,META
2015-03-17,78.36000061035156,79.77999877929688,78.33999633789062,79.36000061035156,78.74207305908203,22170000,META
2015-03-18,79.25,81.23999786376953,79.16999816894531,80.91000366210938,80.28001403808594,36912400,META
2015-03-19,81.12000274658203,83.0,81.0,82.75,82.10567474365234,42099500,META
2015-03-20,83.38999938964844,84.5999984741211,83.06999969482422,83.80000305175781,83.14749908447266,44466300,META
2015-03-23,83.91999816894531,84.95999908447266,83.30000305175781,84.43000030517578,83.77259826660156,27357300,META
