seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,variant
42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,train,double_dqn,8.160037231515965,0.5482585716149115,0.3603009253049604,1.5216685084859631,-0.3373535396533904,baseline
42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,validation,double_dqn,1.0544835174938276,0.4916834771988774,0.2838447778490212,1.7322266096451029,-0.148372181315977,baseline
42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,test,double_dqn,0.9494865349642616,0.4639764690730779,0.2982640292136038,1.5555897581628857,-0.2085749948719261,baseline
42,reward_only_none_seed42,price_only,differential_sharpe,none,0.01,20,1e-06,train,double_dqn,7.411844384371669,0.5386674684066164,0.3826176819385899,1.4078478173757594,-0.5773999825078642,reward_only
42,reward_only_none_seed42,price_only,differential_sharpe,none,0.01,20,1e-06,validation,double_dqn,0.4837324871967547,0.31914508782469,0.3992977032346879,0.7992660244206611,-0.4110783463016171,reward_only
42,reward_only_none_seed42,price_only,differential_sharpe,none,0.01,20,1e-06,test,double_dqn,1.1538811573395131,0.6049529320539753,0.4168935242051891,1.4510969754383278,-0.4772295414233065,reward_only
42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,train,double_dqn,8.793247252161756,0.5703669289168853,0.3675905180575965,1.5516366742286762,-0.3400419610113968,state_only
42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,validation,double_dqn,0.8409847742302008,0.5031212534681646,0.453003053586907,1.1106354570557937,-0.4377535762596911,state_only
42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,test,double_dqn,0.3554475999131159,0.2802050178927715,0.4342784404840891,0.6452197294906643,-0.5891638049049784,state_only
42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,train,double_dqn,1.2588843939701695,0.172124658711134,0.2098372974621924,0.8202767610564878,-0.1832557456769802,both
42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,validation,double_dqn,0.5931027188227567,0.2870433399094052,0.195381050830408,1.4691462590123985,-0.1132061146107217,both
42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,test,double_dqn,0.7336313022965999,0.3630879056817755,0.2541827374167429,1.4284522598656182,-0.1668804308880611,both
