dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,variant,run_name,state_mode,reward_mode,sentiment_imputation_mode,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,16.528689362542234,0.8860715139949418,0.5527910475109776,1.602904963791668,-0.606265385382069,shared_baselines,heuristic_reference,price_only,profit,none,,,,
train,random,0.6610713188324517,0.1780841244239082,0.3938795644094382,0.4521283674387066,-0.8666917513357018,shared_baselines,heuristic_reference,price_only,profit,none,,,,
validation,buy_and_hold,-0.4936212796469517,-0.1438218934897578,0.6104177135766986,-0.2356122541841779,-0.7338829715606723,shared_baselines,heuristic_reference,price_only,profit,none,,,,
validation,random,-0.3469217333923009,-0.1217542416186505,0.4075378237355931,-0.2987556848162481,-0.5170327691949643,shared_baselines,heuristic_reference,price_only,profit,none,,,,
test,buy_and_hold,2.673090513058658,1.2783148584502162,0.5820978073822674,2.1960482280441553,-0.5157496256046374,shared_baselines,heuristic_reference,price_only,profit,none,,,,
test,random,0.8600015745582446,0.519315302849293,0.4625873529246901,1.1226318652378682,-0.430999477216917,shared_baselines,heuristic_reference,price_only,profit,none,,,,
train,double_dqn,8.160037231515965,0.5482585716149115,0.3603009253049604,1.5216685084859631,-0.3373535396533904,baseline,baseline_none_seed42,price_only,profit,none,42.0,0.01,20.0,1e-06
validation,double_dqn,1.0544835174938276,0.4916834771988774,0.2838447778490212,1.7322266096451029,-0.148372181315977,baseline,baseline_none_seed42,price_only,profit,none,42.0,0.01,20.0,1e-06
test,double_dqn,0.9494865349642616,0.4639764690730779,0.2982640292136038,1.5555897581628857,-0.2085749948719261,baseline,baseline_none_seed42,price_only,profit,none,42.0,0.01,20.0,1e-06
train,double_dqn,7.411844384371669,0.5386674684066164,0.3826176819385899,1.4078478173757594,-0.5773999825078642,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,42.0,0.01,20.0,1e-06
validation,double_dqn,0.4837324871967547,0.31914508782469,0.3992977032346879,0.7992660244206611,-0.4110783463016171,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,42.0,0.01,20.0,1e-06
test,double_dqn,1.1538811573395131,0.6049529320539753,0.4168935242051891,1.4510969754383278,-0.4772295414233065,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,42.0,0.01,20.0,1e-06
train,double_dqn,8.793247252161756,0.5703669289168853,0.3675905180575965,1.5516366742286762,-0.3400419610113968,state_only,state_only_decay_seed42,price_sentiment,profit,decay,42.0,0.01,20.0,1e-06
validation,double_dqn,0.8409847742302008,0.5031212534681646,0.453003053586907,1.1106354570557937,-0.4377535762596911,state_only,state_only_decay_seed42,price_sentiment,profit,decay,42.0,0.01,20.0,1e-06
test,double_dqn,0.3554475999131159,0.2802050178927715,0.4342784404840891,0.6452197294906643,-0.5891638049049784,state_only,state_only_decay_seed42,price_sentiment,profit,decay,42.0,0.01,20.0,1e-06
train,double_dqn,1.2588843939701695,0.172124658711134,0.2098372974621924,0.8202767610564878,-0.1832557456769802,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,42.0,0.01,20.0,1e-06
validation,double_dqn,0.5931027188227567,0.2870433399094052,0.195381050830408,1.4691462590123985,-0.1132061146107217,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,42.0,0.01,20.0,1e-06
test,double_dqn,0.7336313022965999,0.3630879056817755,0.2541827374167429,1.4284522598656182,-0.1668804308880611,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,42.0,0.01,20.0,1e-06
