seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,train,double_dqn,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,validation,double_dqn,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,test,double_dqn,4.107269411569155,1.733793789718204,0.6106101584824366,2.839444718750244,-0.4469802928867934
