episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
11,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,25.749247546662343,1.7666755164951664,0.050000000000000044,-0.4036172763580935,-0.07222015592946174,0.4169989190628258,-0.17319027131238418,-0.7542027173411954,sharpe_ratio
12,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,20.956335706266003,1.7903253719977084,0.050000000000000044,-0.509073832798655,-0.10570144636367251,0.4703571795098142,-0.22472591249447912,-0.7872651757320661,sharpe_ratio
13,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,19.34775703798266,1.699662729072507,0.050000000000000044,-0.6568369285791259,-0.2252683231553102,0.39773466135745156,-0.5663784051067587,-0.795123412395931,sharpe_ratio
14,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,16.595962101826863,1.764389464993754,0.050000000000000044,-0.29398688546333707,-0.02149695253022732,0.4172705589809576,-0.05151801886700649,-0.6709338539462548,sharpe_ratio
15,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,30.69861455635612,1.7516677227908959,0.050000000000000044,-0.5521600801069242,-0.1545248051957976,0.4084515521018838,-0.37831856532461666,-0.7124293304295201,sharpe_ratio
16,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,21.504199589948154,1.7311106961651015,0.050000000000000044,-0.5735879681468709,-0.17164849368543167,0.3940325749747974,-0.4356200593222792,-0.6996545135044473,sharpe_ratio
17,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,25.117000860255988,1.6917591146333424,0.050000000000000044,-0.25499934419711046,-0.010483957016729994,0.4032008091378361,-0.02600182534144172,-0.664543144316081,sharpe_ratio
18,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,26.14270341934088,1.673622451747507,0.050000000000000044,-0.5044589461886021,-0.12363287964904912,0.41681800535467806,-0.2966111781659903,-0.7544396301039915,sharpe_ratio
19,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,33.60757704703887,1.7695394397259714,0.050000000000000044,-0.12459357483319056,0.03768004738697872,0.3965357838093075,0.09502306960801023,-0.689082853012223,sharpe_ratio
20,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,34.08270533873105,1.699899257822043,0.050000000000000044,-0.26999252633165016,-0.01810634879824158,0.3999732923830546,-0.04526889455634232,-0.6379111057885061,sharpe_ratio
