episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
21,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,7.008295629910538,1.782746895003016,0.050000000000000044,-0.37477075986478325,-0.120887282730889,0.4625234143311047,-0.26136467686876913,-0.6035126065805563,cumulative_return
22,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,-2.901702893118113,1.611060467097627,0.050000000000000044,-0.5095464121374649,-0.24639782089959505,0.3854437706208098,-0.6392574992267684,-0.6176020352674485,cumulative_return
23,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,-5.63225393953669,1.6220304446174212,0.050000000000000044,-0.3873376983021879,-0.1320948840368783,0.4560122640158313,-0.28967397252345034,-0.6168298255086266,cumulative_return
24,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,8.645610407669253,1.626263870126658,0.050000000000000044,-0.4618930812002947,-0.1846328960562057,0.46174039335835837,-0.3998629938206672,-0.6413696454249613,cumulative_return
25,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,7.1976351964412055,1.6888742774187444,0.050000000000000044,-0.5260895345443442,-0.2636617460439795,0.36969524330870257,-0.7131867418262045,-0.5756993647805394,cumulative_return
26,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,20.224831208474633,1.6831811598403181,0.050000000000000044,-0.6097866971487542,-0.31362193598360244,0.4370683154625511,-0.717558159418843,-0.6796620089686518,cumulative_return
27,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,-0.2047329798333955,1.6700346956431427,0.050000000000000044,-0.18181078729773115,-0.0845649400660311,0.1574044908940655,-0.5372460441611161,-0.21971047302580105,cumulative_return
28,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,45.44886892689915,1.6174811163821377,0.050000000000000044,-0.5268076035819036,-0.2608132493041,0.3816031236492942,-0.6834672809014947,-0.6206157138548627,cumulative_return
29,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,13.010725961057874,1.627438714962923,0.050000000000000044,-0.49981612179706936,-0.21863690904952549,0.44862511816375233,-0.48734879122332375,-0.5893838125993457,cumulative_return
30,42,both_decay_seed42,price_sentiment,differential_sharpe,decay,0.01,20,1e-06,13.249087447113977,1.6706430464485285,0.050000000000000044,-0.6220182919620707,-0.33289643254284107,0.40754375400643766,-0.8168360556878577,-0.6643803875884802,cumulative_return
