dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
test,double_dqn,-0.18267591600610733,-0.06435182472475054,0.26671094652064625,-0.2412792784257508,-0.4086779809806589,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,3.110898680514791,0.32117305447366884,0.28746950306141317,1.1172421806603097,-0.2588508950776025,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,0.3804239770562965,0.1564745770941145,0.3000545466409151,0.5214871057473849,-0.38033358453270216,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,-0.1318033550553206,-0.036449039072115164,0.2617131109535772,-0.13927097094719307,-0.4359823783662412,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,35.06330453144972,0.881183278960959,0.24211724946502755,3.63948987900691,-0.13337610539014455,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.5788157353728978,0.18635317038693922,0.23795962796663306,0.7831293567708462,-0.2933222749783977,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
test,double_dqn,-0.4362927929795444,-0.21854611500167975,0.2871843609878254,-0.7609958782224376,-0.4848292656175287,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
train,double_dqn,1.4548302780614555,0.1887818947273443,0.20902137513549196,0.9031702839241775,-0.17496336916664468,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,0.8006523667030305,0.24338683967947983,0.26252577295166646,0.927096935828429,-0.25410324150660935,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
test,double_dqn,-0.11000525187329335,-0.03035928345758021,0.23677514220856183,-0.128219893247233,-0.33349628638912343,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
