episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,baseline_none,price_only,profit,none,-0.1841010901913498,0.3760770614884304,0.71557,0.17342102334854514,0.10842149568223891,0.21288982243583107,0.5092845418428547,-0.27324545887762475
2,baseline_none,price_only,profit,none,0.25027828242288097,0.013713561902699884,0.4311400000000001,0.02920879730185444,0.06271097382404922,0.3048105206784726,0.20573756340319857,-0.3075105504121448
3,baseline_none,price_only,profit,none,0.5267677477832192,0.003576017691498422,0.14671,-0.16626157726267532,-0.05411382550767896,0.26718363679672796,-0.20253420514987786,-0.38155177343354785
4,baseline_none,price_only,profit,none,1.2148039083051652,0.0010761940920844136,0.050000000000000044,-0.27390848854148553,-0.12170578939596932,0.24806577354965134,-0.4906190308096229,-0.47120180789759536
5,baseline_none,price_only,profit,none,1.5945767491219374,0.00042245279589880837,0.050000000000000044,0.06506636884110839,0.04353549756522934,0.14809894901927578,0.2939622316939129,-0.12667249528216373
6,baseline_none,price_only,profit,none,1.7487744075740301,0.00035409359961479677,0.050000000000000044,-0.0020189948122292245,0.017109568662334818,0.1898041039842782,0.09014330197913968,-0.22745998865384265
7,baseline_none,price_only,profit,none,1.2014015322960852,0.0003232357646856173,0.050000000000000044,-0.09045688372588412,-0.03378025702469478,0.1626452568131584,-0.2076928506036942,-0.1875431886910719
8,baseline_none,price_only,profit,none,1.4063359538816154,0.00028166983830258833,0.050000000000000044,-0.15066174089698814,-0.05133843855885556,0.24150162568690778,-0.212580095114609,-0.4176042956570435
9,baseline_none,price_only,profit,none,1.8244672362256895,0.00027657704218872047,0.050000000000000044,-0.0002200144317752173,0.04845581411084399,0.3082541714726898,0.1571943499721203,-0.3075105504121449
10,baseline_none,price_only,profit,none,1.6809822074041203,0.0002446179755190549,0.050000000000000044,-0.07589834640480297,0.007182076188558817,0.3060888291791335,0.02346402581178689,-0.35992852957777466
