step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,6.249429225921631,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,6.379428863525391,1,10197.810398792064,0.02080184172092725
2,2015-01-27,0,6.488142967224121,1,10371.59489281362,0.01704135370492299
3,2015-01-28,0,6.320857048034668,1,10104.180658283078,-0.025783328147133022
4,2015-01-29,0,6.340000152587891,1,10134.7817912143,0.0030285615396372645
5,2015-01-30,0,6.311429023742676,1,10089.10952790107,-0.004506487091100797
6,2015-02-02,0,6.301000118255615,1,10072.438442902843,-0.0016523841823823382
7,2015-02-03,0,6.527429103851318,1,10434.395588800033,0.03593540411778129
8,2015-02-04,0,6.41014289855957,1,10246.908196190707,-0.01796820822190881
9,2015-02-05,0,6.413000106811523,1,10251.475574971255,0.00044573238025558126
10,2015-02-06,0,6.3480000495910645,1,10147.56999445216,-0.010135670690449405
11,2015-02-09,0,6.329570770263672,1,10118.10994396995,-0.0029031630723725943
12,2015-02-10,0,6.485000133514404,1,10366.570928604242,0.024556066894920958
13,2015-02-11,0,6.498428821563721,1,10388.037303974368,0.0020707305740699233
14,2015-02-12,0,6.52471399307251,1,10430.055359364711,0.004044850260045418
15,2015-02-13,0,6.658570766448975,1,10644.031567061293,0.02051534726557902
16,2015-02-17,0,6.713714122772217,1,10732.18075793207,0.0082815604515456
17,2015-02-18,0,6.786571025848389,1,10848.645867851548,0.01085195195146138
18,2015-02-19,0,6.78000020980835,1,10838.142116250086,-0.0009682085422834108
19,2015-02-20,0,6.8314290046691895,1,10920.353409807703,0.007585367738844662
20,2015-02-23,0,6.740571022033691,1,10775.112746426197,-0.013299996614675846
21,2015-02-24,0,6.783999919891357,1,10844.535836745954,0.0064429108032102445
22,2015-02-25,0,6.833285808563232,1,10923.32159621816,0.0072650190527514535
23,2015-02-26,0,6.900428771972656,1,11030.652710822666,0.009825867860712378
24,2015-02-27,0,6.78442907333374,1,10845.221858258386,-0.016810505907990825
25,2015-03-02,0,6.860713958740234,1,10967.166755569948,0.011244112744333012
26,2015-03-03,0,6.781570911407471,1,10840.65295498559,-0.011535686782559895
27,2015-03-04,0,6.710999965667725,1,10727.842052988999,-0.01040628294854773
28,2015-03-05,0,6.680714130401611,1,10679.42875261054,-0.004512864762486912
29,2015-03-06,0,6.487429141998291,1,10370.453810364608,-0.02893178552929665
30,2015-03-09,0,6.366143226623535,1,10176.572697259415,-0.018695528339504497
31,2015-03-10,0,6.215143203735352,1,9935.192216879546,-0.02371923117543029
32,2015-03-11,0,6.288428783416748,1,10052.342586065331,0.011791454722612338
33,2015-03-12,0,6.404571056365967,1,10238.001350220962,0.01846920382647843
34,2015-03-13,0,6.262856960296631,1,10011.464850877876,-0.02212702378069109
35,2015-03-16,0,6.028142929077148,1,9636.263678560123,-0.037477150237894774
36,2015-03-17,0,5.978857040405273,1,9557.477919087916,-0.008175965509069405
37,2015-03-18,0,6.0445709228515625,1,9662.524582056023,0.010991044275217243
38,2015-03-19,0,6.074429035186768,1,9710.254147660426,0.0049396578708880146
39,2015-03-20,0,6.118570804595947,1,9780.816795936946,0.007266817861149466
40,2015-03-23,0,6.0714287757873535,1,9705.4580950424,-0.007704745162576798
41,2015-03-24,0,6.261143207550049,1,10008.725338304897,0.031247081826813128
42,2015-03-25,0,6.025000095367432,1,9631.239714350744,-0.03771565421117706
43,2015-03-26,0,5.975142955780029,1,9551.540784020879,-0.008275043783939062
44,2015-03-27,0,5.925285816192627,1,9471.841853691014,-0.008344091506492513
45,2015-03-30,0,6.03671407699585,1,9649.965052655642,0.018805550358214296
46,2015-03-31,0,5.952713966369629,1,9515.687013042801,-0.013914873150332019
47,2015-04-01,0,5.901713848114014,1,9434.160978751492,-0.008567540544320629
48,2015-04-02,0,5.91542911529541,1,9456.085464042699,0.002323946489845463
49,2015-04-06,0,6.0329999923706055,1,9644.027917588604,0.01987529134128141
50,2015-04-07,0,6.049428939819336,1,9670.290345576755,0.002723180419278437
51,2015-04-08,0,6.304999828338623,1,10078.83216339871,0.04224710977874868
52,2015-04-09,0,6.278571128845215,1,10036.584671924766,-0.004191705029811588
53,2015-04-10,0,6.493856906890869,1,10380.728888128591,0.03428897652470342
54,2015-04-13,0,6.7811431884765625,1,10839.969220211531,0.04423970002801325
55,2015-04-14,0,6.838714122772217,1,10931.9990061043,0.008489856753576053
56,2015-04-15,0,6.792285919189453,1,10857.78138765877,-0.006789025356120915
57,2015-04-16,0,8.02928638458252,1,12835.183515523382,0.18211843260283156
58,2015-04-17,0,8.164999961853027,1,13052.127909630419,0.016902321174033563
59,2015-04-20,0,8.105570793151855,1,12957.127650588816,-0.007278526513022188
60,2015-04-21,0,8.006285667419434,1,12798.41581144152,-0.012248998653654808
61,2015-04-22,0,7.966856956481934,1,12735.387203863755,-0.004924719473594519
62,2015-04-23,0,7.986570835113525,1,12766.900745406512,0.002474486329963943
63,2015-04-24,0,7.977142810821533,1,12751.829615024504,-0.0011804846518784773
64,2015-04-27,0,8.086856842041016,1,12927.212539170027,0.013753549838752654
65,2015-04-28,0,8.043713569641113,1,12858.2460342791,-0.005334986539592745
66,2015-04-29,0,8.040714263916016,1,12853.451506153324,-0.00037287574938249524
67,2015-04-30,0,7.949999809265137,1,12708.440278855422,-0.011281890099984482
68,2015-05-01,0,7.957571029663086,1,12720.543222826975,0.0009523547898864226
69,2015-05-04,0,7.927143096923828,1,12671.902773103286,-0.0038237714279688584
70,2015-05-05,0,8.079285621643066,1,12915.109595198473,0.019192604808443203
71,2015-05-06,0,8.00771427154541,1,12800.699500831794,-0.008858623577550961
72,2015-05-07,0,8.074856758117676,1,12908.029853190175,0.008384725565302675
73,2015-05-08,0,8.208571434020996,1,13121.778911541527,0.01655938673697177
74,2015-05-11,0,8.427857398986816,1,13472.317610487346,0.026714266511341345
75,2015-05-12,0,8.337714195251465,1,13328.219554047102,-0.010695862479375706
76,2015-05-13,0,8.287285804748535,1,13247.607452859578,-0.006048227286520547
77,2015-05-14,0,8.383570671081543,1,13401.523239388851,0.01161838370263979
78,2015-05-15,0,8.760713577270508,1,14004.403517990953,0.044985951808086844
79,2015-05-18,0,8.826713562011719,1,14109.907528634016,0.007533631154481135
80,2015-05-19,0,8.806857109069824,1,14078.166075499905,-0.0022495861910998283
81,2015-05-20,0,8.878999710083008,1,14193.489340724245,0.008191639777928028
82,2015-05-21,0,8.900285720825195,1,14227.51600774088,0.0023973433311430536
83,2015-05-22,0,8.883856773376465,1,14201.253579752727,-0.0018458898920840072
84,2015-05-26,0,8.799285888671875,1,14066.063131528354,-0.009519613706294172
85,2015-05-27,0,8.985713958740234,1,14364.076974497868,0.02118672724435111
86,2015-05-28,0,8.950714111328125,1,14308.128108928404,-0.003895054702700129
87,2015-05-29,0,8.915143013000488,1,14251.26607250128,-0.003974107304200225
88,2015-06-01,0,8.900285720825195,1,14227.51600774088,-0.0016665231453524276
89,2015-06-02,0,8.913000106811523,1,14247.840538415869,0.0014285368341129256
90,2015-06-03,0,8.880857467651367,1,14196.459051626953,-0.0036062648687271714
91,2015-06-04,0,8.934857368469238,1,14282.780376290162,0.0060804827703366815
92,2015-06-05,0,9.04599952697754,1,14460.446227579838,0.01243916426696634
93,2015-06-08,0,8.960429191589355,1,14323.658111477618,-0.009459467152633905
94,2015-06-09,0,9.244999885559082,1,14778.55745187911,0.031758600830955386
95,2015-06-10,0,9.587142944335938,1,15325.48886491175,0.037008443808776104
96,2015-06-11,0,9.509428977966309,1,15201.259515963791,-0.008106061088360206
97,2015-06-12,0,9.44185733795166,1,15093.243142092977,-0.007105751583109221
98,2015-06-15,0,9.343143463134766,1,14935.44447380334,-0.010454921238866044
99,2015-06-16,0,9.5272855758667,1,15229.804108849967,0.019708796451483712
100,2015-06-17,0,9.427143096923828,1,15069.721751170055,-0.010511123881553397
101,2015-06-18,0,9.474286079406738,1,15145.081976556849,0.005000770859020287
102,2015-06-19,0,9.3871431350708,1,15005.77997273463,-0.009197837557950783
103,2015-06-22,0,9.64142894744873,1,15412.267537249914,0.027088732825209183
104,2015-06-23,0,9.73128604888916,1,15555.908246015202,0.009319894585149369
105,2015-06-24,0,9.694429397583008,1,15496.991194035281,-0.003787438897694284
106,2015-06-25,0,9.489143371582031,1,15168.83204131725,-0.021175668786876378
107,2015-06-26,0,9.308856964111328,1,14880.635928436763,-0.018999228951542935
108,2015-06-29,0,9.223142623901367,1,14743.617614004817,-0.00920782653986607
109,2015-06-30,0,9.384857177734377,1,15002.125764811744,0.017533563171183486
110,2015-07-01,0,9.363571166992188,1,14968.099097795108,-0.0022681230347000314
111,2015-07-02,0,9.40442943572998,1,15033.412919255397,0.004363534810503111
112,2015-07-06,0,9.45714282989502,1,15117.67770387356,0.00560516664251498
113,2015-07-07,0,9.409143447875977,1,15040.9484844464,-0.005075463370111333
114,2015-07-08,0,9.350713729858398,1,14947.545893282642,-0.006209887046707441
115,2015-07-09,0,9.572713851928713,1,15302.423297171536,0.023741516261098994
116,2015-07-10,0,9.722857475280762,1,15542.434783511037,0.015684541048074596
117,2015-07-13,0,10.10871410369873,1,16159.244347800011,0.039685517287378236
118,2015-07-14,0,10.037142753601074,1,16044.83425343333,-0.007080163645291848
119,2015-07-15,0,9.812999725341797,1,15686.53131545903,-0.022331358013101932
