seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,profit_none_seed42,profit,none,0.005,20,1e-06,train,double_dqn,6.968944704141801,0.45460077395687915,0.22528170218019433,2.0179214270729413,-0.17460987059886868,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,validation,double_dqn,0.22752335775257704,0.10952640524421642,0.28303205207328724,0.38697527167649576,-0.364328642634246,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,test,double_dqn,0.3023722519049441,0.18034514339650243,0.25525940263298014,0.7065171411366509,-0.17914752434408387,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,train,double_dqn,107.60418256442442,1.2574115744765542,0.22425884644383362,5.606965318942176,-0.13746524618506928,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,validation,double_dqn,0.5088375828787222,0.1845777168996714,0.2880181408353281,0.6408544835556108,-0.31332047757792647,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,test,double_dqn,0.7347994213322948,0.35566058468021833,0.22956510697299806,1.5492798072402696,-0.1932785021163559,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,train,double_dqn,35.58866400628077,0.8906631693128615,0.2502928983708797,3.558483581076648,-0.24125283940823938,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,validation,double_dqn,0.3409492328508281,0.1422719583545342,0.28854875774629457,0.4930603738021506,-0.4277210075222634,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,test,double_dqn,-0.16812949748499284,-0.06059275538027298,0.2471017049436405,-0.2452138296419003,-0.3644496964336724,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,train,double_dqn,28.604428226108578,0.8196971788482699,0.23847898633907266,3.437188288291419,-0.16658591817028656,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,validation,double_dqn,0.24376387784166464,0.11414080291172235,0.28319216226730964,0.4030507129783592,-0.49980122093444024,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,test,double_dqn,0.4916746358380315,0.2683099536445801,0.2683310869118727,0.9999212418227951,-0.25893804195591796,profit_none
