date,news_count,mean_overall_sentiment,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,weighted_ticker_sentiment
2015-01-01,1,0.175437,0.035717,0.612679,0.0,0.035717
2015-02-20,1,0.028008,-0.107609,0.62459,0.0,-0.10760899999999998
2015-04-29,1,0.1904,0.330945,0.926018,0.0,0.330945
2015-04-30,2,0.033146499999999995,0.0555085,0.935002,0.24098976920296844,0.05431457054262987
2015-05-12,2,0.2492825,0.260614,0.642583,0.06769416059011293,0.26039350502892233
2015-05-27,1,0.314644,0.239513,0.616608,0.0,0.23951300000000003
2015-06-22,1,0.07314,0.158097,0.600323,0.0,0.158097
2015-06-25,1,-0.038061,0.025589,0.552318,0.0,0.025589
2015-06-26,1,0.139473,0.08828,0.56871,0.0,0.08828
2015-07-14,1,0.269075,0.14413,0.626981,0.0,0.14413
2015-08-03,1,0.353172,0.309438,0.643007,0.0,0.309438
2015-08-10,1,0.529977,0.338796,0.602285,0.0,0.338796
2015-08-12,1,0.142705,0.201625,0.800926,0.0,0.201625
2015-08-24,1,0.255828,0.318446,0.71421,0.0,0.318446
2015-09-14,1,0.151534,0.333722,0.737758,0.0,0.333722
2015-09-15,2,0.3560095,0.380827,0.8667595,0.0695100108042,0.3883826181564783
2015-10-19,1,0.169845,0.103331,0.596564,0.0,0.103331
2015-12-21,1,0.158114,0.264725,0.565409,0.0,0.264725
2016-01-29,1,0.707319,0.702108,0.96693,0.0,0.702108
2016-02-19,2,0.314485,0.2523605,0.775469,0.13611593405806685,0.28022850240048286
2016-02-27,1,0.216987,0.188387,0.604476,0.0,0.188387
2016-03-02,1,-0.19557,-0.171405,1.0,0.0,-0.171405
2016-03-08,1,0.343081,0.348048,1.0,0.0,0.348048
2016-03-18,2,0.109219,0.239868,0.6595225,0.2803734955947156,0.3422163297158171
2016-03-22,1,0.271741,0.248915,0.715143,0.0,0.248915
2016-04-04,1,0.402136,0.39551,1.0,0.0,0.39551
2016-04-07,1,0.179072,0.125561,0.6239,0.0,0.125561
2016-04-12,1,0.274905,0.318477,1.0,0.0,0.318477
2016-04-20,1,-0.248551,-0.238596,0.606579,0.0,-0.238596
2016-05-02,1,0.309412,0.348264,0.982645,0.0,0.348264
2016-05-03,1,0.312022,0.14679,0.601441,0.0,0.14679
2016-05-06,2,0.43570149999999996,0.608818,1.0,0.2836445715644846,0.608818
2016-05-19,1,0.244061,0.113588,0.701519,0.0,0.113588
2016-05-26,1,0.132415,0.131003,0.622067,0.0,0.131003
2016-06-01,1,0.204961,0.431811,1.0,0.0,0.431811
2016-06-02,1,0.367924,0.409784,1.0,0.0,0.409784
2016-06-07,1,0.316486,0.446237,1.0,0.0,0.446237
2016-06-14,1,0.03424,-0.138749,0.602757,0.0,-0.138749
2016-06-16,1,0.080493,0.054295,0.844728,0.0,0.054295
2016-06-28,1,0.178615,0.126888,0.625532,0.0,0.126888
2016-06-29,1,0.224338,0.118219,0.620034,0.0,0.118219
2016-07-25,1,0.043965,0.006739,0.349571,0.0,0.006739000000000001
2016-07-28,2,0.17378149999999998,0.1756205,0.6677005,0.055020685750906434,0.1720825610561921
2016-08-01,3,0.147872,0.20969000000000002,0.7737436666666667,0.1443610794951326,0.2551923307538112
2016-08-04,1,0.200008,0.239384,0.736202,0.0,0.239384
2016-09-01,1,0.307992,0.307275,1.0,0.0,0.307275
2016-09-12,1,-0.03982,-0.419456,0.74296,0.0,-0.419456
2016-09-18,1,0.210026,0.217192,0.91963,0.0,0.217192
2016-09-19,2,0.2776525,0.2726785,0.7754685,0.20069033952958473,0.29791224180866144
2016-09-25,1,0.171959,0.258483,1.0,0.0,0.258483
2016-09-26,1,0.182496,0.107071,0.636346,0.0,0.10707100000000001
2016-09-29,1,0.238417,0.314488,0.611873,0.0,0.314488
2016-10-03,1,0.15383,0.304113,1.0,0.0,0.304113
2016-10-05,1,0.021242,0.009254,0.309657,0.0,0.009254
2016-10-06,1,0.345521,0.312852,0.869603,0.0,0.312852
2016-10-07,1,0.405553,0.400846,1.0,0.0,0.400846
2016-10-21,2,0.1715915,0.1195585,0.9787105,0.483139900633864,0.12698987405724166
2016-10-26,1,0.290686,0.32181,0.603581,0.0,0.32181
2016-10-27,2,0.151684,0.02132050000000002,0.8495905,0.40293984951168577,-0.013905225871758202
2016-11-02,1,0.334951,0.266359,0.626511,0.0,0.266359
2016-11-05,1,0.081459,0.132826,0.608584,0.0,0.132826
2016-11-08,1,0.157974,0.140815,0.632459,0.0,0.140815
2016-11-19,1,0.351683,0.523003,1.0,0.0,0.523003
2016-11-23,1,0.32884,0.317296,1.0,0.0,0.317296
2016-12-06,1,0.399723,0.311834,0.643076,0.0,0.311834
2017-01-04,1,0.076738,0.129262,0.621016,0.0,0.129262
2017-01-06,1,0.172853,0.324715,1.0,0.0,0.324715
2017-01-07,1,0.474295,0.450448,1.0,0.0,0.450448
2017-01-12,2,0.2497825,0.224136,0.793257,0.15068304085729092,0.24472297903705859
2017-01-13,1,0.411472,0.416987,1.0,0.0,0.416987
2017-01-18,3,0.3414413333333333,0.44706566666666664,0.9948313333333333,0.237664839974981,0.4456406895051557
2017-01-19,2,0.192884,0.367949,0.7486475,0.026650854582920977,0.36436383155623975
2017-01-25,1,0.048376,0.007537,0.319176,0.0,0.007537000000000001
2017-02-02,1,0.225368,0.14122,0.732446,0.0,0.14122
2017-02-07,1,0.120574,0.022347,0.630767,0.0,0.022347
2017-02-17,2,-0.027398500000000006,-0.036245,0.7251855,0.2501701365431134,-0.03688349580210855
2017-02-20,1,0.10605,0.12514,0.810224,0.0,0.12514
2017-02-25,1,0.723063,0.549349,0.74462,0.0,0.549349
2017-02-28,1,0.080913,0.101867,0.567166,0.0,0.101867
2017-03-01,1,0.432979,0.437075,0.964487,0.0,0.437075
2017-03-07,1,0.246012,0.343438,1.0,0.0,0.343438
2017-03-15,1,0.046877,0.032248,0.302067,0.0,0.032248
2017-03-17,1,0.260217,0.329024,1.0,0.0,0.329024
2017-03-21,1,0.272693,0.121522,0.624397,0.0,0.121522
2017-03-28,1,0.159921,0.308974,0.730578,0.0,0.308974
2017-04-04,3,0.02212800000000001,0.176745,0.7887696666666667,0.09844056597257046,0.19065145028565583
2017-04-05,1,0.207338,0.225194,0.620656,0.0,0.22519399999999998
2017-04-06,1,0.144259,0.34721,1.0,0.0,0.34721
2017-04-07,1,0.218783,0.306943,0.619177,0.0,0.306943
2017-04-17,1,0.356473,0.467605,1.0,0.0,0.467605
2017-05-01,2,0.1889345,0.243488,0.6359425000000001,0.14508558357741821,0.24128556247223612
2017-05-04,1,0.273538,0.226336,0.606713,0.0,0.22633599999999998
2017-05-15,1,0.399716,0.301395,0.833714,0.0,0.301395
2017-05-17,1,0.365105,0.336904,0.865313,0.0,0.336904
2017-05-18,2,0.43636349999999996,0.619933,1.0,0.30101677096467566,0.619933
2017-05-19,1,0.297447,0.261549,1.0,0.0,0.261549
2017-05-20,1,0.891708,0.858062,1.0,0.0,0.858062
2017-06-09,1,0.244351,0.336362,0.602876,0.0,0.336362
2017-06-15,1,0.450043,0.774741,0.997548,0.0,0.774741
2017-06-21,1,0.324284,0.349,0.705982,0.0,0.349
2017-07-05,1,0.152974,0.32058,0.626918,0.0,0.32058
2017-07-07,1,0.356138,0.32384,0.630023,0.0,0.32384
2017-07-12,1,0.365723,0.406215,0.704286,0.0,0.406215
2017-07-25,1,0.42752,0.475174,1.0,0.0,0.475174
2017-07-27,1,0.391983,0.297278,0.582159,0.0,0.297278
2017-08-01,1,0.318466,0.32834,0.919965,0.0,0.32834
2017-08-07,1,0.515551,0.61009,0.688856,0.0,0.61009
2017-08-28,1,0.274348,0.10386,0.725449,0.0,0.10386
2017-08-30,1,0.346806,0.309547,0.87988,0.0,0.309547
2017-09-07,1,0.198207,0.139453,0.638956,0.0,0.139453
2017-09-12,1,0.329765,0.323572,0.649265,0.0,0.323572
2017-09-29,1,0.32064,0.304904,1.0,0.0,0.304904
2017-10-13,1,0.257549,0.313352,0.641929,0.0,0.313352
2017-11-02,1,0.353031,0.436326,1.0,0.0,0.436326
2017-11-07,1,0.185605,0.121346,0.613069,0.0,0.12134600000000001
2017-11-08,2,0.31238,0.392882,0.855871,0.06792184897365502,0.400969933359116
2017-11-11,1,0.302331,0.25419,0.694146,0.0,0.25419
2017-11-17,2,0.1629335,0.205455,0.613648,0.13863394130587212,0.20423724150164266
2017-11-20,1,0.346475,0.322409,1.0,0.0,0.322409
2017-11-27,1,0.467039,0.893321,1.0,0.0,0.893321
2017-12-07,1,0.379344,0.324932,0.640103,0.0,0.324932
2017-12-08,2,0.1806265,0.194323,0.6247985,0.2131290549174373,0.19585308876861898
2017-12-12,1,-0.114159,-0.125271,0.648703,0.0,-0.125271
2017-12-18,1,0.388856,0.342324,0.636818,0.0,0.342324
2017-12-19,1,0.391208,0.388499,0.829107,0.0,0.388499
2018-01-04,1,0.209545,0.330873,1.0,0.0,0.330873
