date,news_count,mean_overall_sentiment,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,weighted_ticker_sentiment
2015-02-06,2,0.1766855,0.2815485,0.8066635,0.2008642877977566,0.3155900383071752
2015-07-21,1,0.369402,0.310781,0.83983,0.0,0.310781
2016-10-31,1,0.4045,0.409116,1.0,0.0,0.409116
2017-01-11,1,0.160661,0.144472,0.639954,0.0,0.144472
2017-01-20,1,0.31905,0.337558,0.618534,0.0,0.337558
2017-05-24,1,-0.065022,-0.240106,1.0,0.0,-0.240106
2018-02-05,1,0.395447,0.316533,0.629883,0.0,0.316533
2018-04-10,1,-0.103906,0.024544,0.592467,0.0,0.024544
2018-04-18,1,0.278985,0.328786,0.620787,0.0,0.328786
2018-04-19,1,-0.260115,-0.343434,0.731069,0.0,-0.343434
2018-06-21,1,-0.216241,-0.245825,0.924388,0.0,-0.245825
2019-06-03,1,0.317604,0.212332,0.619794,0.0,0.212332
2019-07-16,1,-0.179351,-0.31195,0.715625,0.0,-0.31195
2019-10-25,1,0.104587,0.144791,1.0,0.0,0.144791
2019-11-28,1,-0.283378,-0.288533,1.0,0.0,-0.288533
2019-12-17,1,0.172288,0.101203,0.616845,0.0,0.101203
2020-07-04,1,0.281201,0.143161,0.637178,0.0,0.143161
2020-07-06,1,0.343183,0.333589,1.0,0.0,0.333589
2020-07-09,2,0.2698285,0.333469,1.0,0.14047666157764424,0.333469
2020-07-21,1,0.026295,0.188387,0.60273,0.0,0.188387
2020-07-23,1,-0.190477,-0.302688,0.641875,0.0,-0.302688
2020-07-31,1,0.585298,0.624875,0.888804,0.0,0.624875
2020-08-10,1,0.155743,0.327805,0.736243,0.0,0.327805
2020-08-19,1,0.14431,0.141618,1.0,0.0,0.141618
2020-08-20,1,0.441035,0.442511,1.0,0.0,0.442511
2020-08-26,2,0.227041,0.238525,1.0,0.1324538280383017,0.238525
2020-09-29,2,0.181064,0.187227,1.0,0.19539481684527868,0.187227
2020-09-30,3,0.18126233333333333,0.1715056666666667,1.0,0.34156803178332323,0.1715056666666667
2020-10-01,1,0.15505,0.25373,1.0,0.0,0.25373
2020-11-06,1,0.405882,0.536444,0.945732,0.0,0.536444
2020-11-19,1,0.246071,0.124909,0.610853,0.0,0.124909
2020-11-23,1,0.108339,0.101066,0.610441,0.0,0.101066
2020-11-25,1,0.186391,0.304061,0.602294,0.0,0.304061
2020-12-01,2,0.09798799999999999,-0.004026500000000002,0.6746194999999999,0.15797260466454302,-0.01178682087161727
2020-12-02,2,0.036752999999999994,0.003870499999999992,0.6372344999999999,0.17140197665283793,0.004012291173029708
2020-12-10,1,-0.073366,0.232848,0.619521,0.0,0.23284799999999997
2020-12-11,3,0.21817966666666666,0.18594299999999997,0.6245753333333334,0.06452602630721964,0.1862253562420546
2020-12-12,1,0.319655,0.236669,0.615224,0.0,0.236669
2020-12-14,1,0.174807,0.133189,0.606747,0.0,0.133189
2020-12-17,1,0.159916,0.126389,0.626614,0.0,0.126389
2020-12-23,1,0.306534,0.329541,0.629106,0.0,0.329541
2021-01-06,1,0.115826,0.12299,0.719617,0.0,0.12299
2021-01-08,1,0.233171,0.23678,0.615913,0.0,0.23678
2021-01-11,1,0.245018,0.112415,0.550406,0.0,0.112415
2021-01-12,1,0.259545,0.205659,0.710743,0.0,0.20565899999999998
2021-01-20,1,-0.38559,-0.404172,1.0,0.0,-0.404172
2021-01-21,1,0.150279,-0.114244,0.552092,0.0,-0.11424400000000001
2021-01-23,1,-0.090251,-0.147199,0.864016,0.0,-0.14719899999999997
2021-01-28,2,0.316436,0.300022,0.8134015,0.24493754636233292,0.33975428522998785
2021-01-30,1,0.008367,0.017,0.300304,0.0,0.017
2021-02-17,1,0.359028,0.611256,1.0,0.0,0.611256
2021-02-18,1,0.488318,0.452433,1.0,0.0,0.452433
2021-02-19,1,0.364583,0.349584,0.965374,0.0,0.349584
2021-02-23,1,-0.423679,-0.444056,1.0,0.0,-0.444056
2021-03-05,2,0.2143285,0.06976299999999999,0.6573315,0.07716939145801269,0.06598869357242122
2021-03-09,1,0.307997,0.29143,0.729697,0.0,0.29143
2021-03-22,1,0.120444,-0.239351,0.604272,0.0,-0.239351
2021-03-24,1,0.295151,0.400054,1.0,0.0,0.400054
2021-04-05,1,0.337887,0.202714,0.62337,0.0,0.202714
2021-04-06,1,0.153132,-0.113787,0.628149,0.0,-0.113787
2021-04-08,1,0.066314,0.222859,0.638231,0.0,0.222859
2021-04-14,1,0.193982,0.144405,0.645061,0.0,0.144405
2021-04-20,2,0.290286,0.262741,0.81035,0.21210799272540387,0.29784222286666256
2021-04-27,1,0.279852,0.126451,0.603703,0.0,0.126451
2021-05-03,1,0.36392,0.304077,0.61405,0.0,0.304077
2021-05-07,1,0.11752,-0.060274,0.857331,0.0,-0.060274
2021-05-14,1,0.293819,0.14242,0.605884,0.0,0.14242
2021-05-25,1,-0.463595,-0.448736,0.741883,0.0,-0.448736
2021-05-26,1,0.205552,0.116419,0.643574,0.0,0.116419
2021-05-27,3,0.063125,0.037043,0.654033,0.15663272121750296,0.02526657541897733
2021-06-03,1,0.073962,0.114131,0.954066,0.0,0.114131
2021-06-09,1,0.116233,-0.135578,1.0,0.0,-0.135578
2021-06-16,1,0.342638,0.114317,0.631892,0.0,0.114317
2021-06-18,1,0.086563,0.117383,0.610787,0.0,0.11738300000000002
2021-06-24,3,0.15562433333333334,0.142543,0.8607053333333333,0.2608095266492388,0.17961479985097492
2021-06-25,1,0.458801,0.304902,0.629493,0.0,0.304902
2021-06-29,1,0.432898,0.486896,1.0,0.0,0.486896
2021-07-16,2,0.1838725,0.1742355,0.6401185,0.09186094905072557,0.17497012232735032
2021-07-20,2,0.442569,0.42940199999999995,0.9954605000000001,0.02669610941691694,0.4293159170851078
2021-07-30,1,-0.088601,-0.123054,0.618224,0.0,-0.123054
2021-08-02,1,0.180173,-0.137228,0.617167,0.0,-0.137228
2021-08-16,1,0.499791,0.477573,1.0,0.0,0.477573
2021-08-18,1,-0.222971,-0.229707,1.0,0.0,-0.229707
2021-08-23,1,0.186572,0.313651,0.646609,0.0,0.313651
2021-08-25,1,-0.34265,-0.322688,1.0,0.0,-0.322688
2021-08-26,1,-0.306055,-0.30054,1.0,0.0,-0.30054
2021-09-01,1,0.488898,0.484981,1.0,0.0,0.484981
2021-09-14,1,0.102757,-0.116461,0.633852,0.0,-0.116461
