date,news_count,mean_overall_sentiment,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,weighted_ticker_sentiment
2015-04-01,1,0.320172,0.298308,0.608794,0.0,0.298308
2015-05-07,1,0.041378,0.025978,0.623542,0.0,0.025978000000000005
2015-05-19,1,0.253628,0.285606,0.950176,0.0,0.285606
2015-06-01,2,0.2622445,0.201887,0.6690575,0.10774893131720613,0.20912186572529268
2015-07-08,1,0.348606,0.300144,0.632707,0.0,0.300144
2015-07-09,1,-0.022259,0.215207,0.600087,0.0,0.215207
2015-07-16,1,0.35541,0.328376,0.647346,0.0,0.328376
2015-08-25,1,0.096187,0.149744,0.615309,0.0,0.149744
2015-10-13,1,0.111765,0.141661,0.629443,0.0,0.141661
2015-10-19,1,0.099692,0.248675,0.606368,0.0,0.24867500000000003
2015-10-21,2,0.2001525,0.114519,0.6311395,0.010554275815990404,0.11435600319263807
2015-10-29,1,0.309163,0.332781,0.918785,0.0,0.332781
2015-11-18,1,0.369785,0.346055,0.611994,0.0,0.346055
2015-11-19,1,0.164403,0.348135,0.64142,0.0,0.348135
2015-12-30,1,0.173905,0.101177,0.72178,0.0,0.101177
2016-01-05,1,0.325372,0.442546,1.0,0.0,0.442546
2016-01-07,1,0.302345,0.20909,0.609096,0.0,0.20909
2016-02-16,1,0.164635,0.428817,1.0,0.0,0.428817
2016-02-26,1,0.544818,0.345567,0.636696,0.0,0.345567
2016-03-02,1,0.260998,0.102826,0.608032,0.0,0.102826
2016-03-03,1,0.147155,0.126511,0.918759,0.0,0.126511
2016-03-28,1,0.03752,0.041073,0.309626,0.0,0.041073
2016-04-05,2,0.1649465,0.295578,0.743435,0.26325019778150216,0.3218290090754404
2016-04-16,1,-0.209168,-0.216208,0.744118,0.0,-0.21620799999999998
2016-06-03,1,0.7416,0.728963,1.0,0.0,0.728963
2016-06-14,1,0.241777,0.136926,0.589702,0.0,0.136926
2016-07-06,1,-0.044351,-0.137147,0.634526,0.0,-0.137147
2016-07-26,2,0.367998,0.3376825,0.636895,0.011129153629095093,0.33771726989613676
2016-09-09,1,0.338289,0.323601,0.60887,0.0,0.323601
2016-10-04,1,0.136949,0.122518,0.726741,0.0,0.12251800000000002
2016-10-26,1,0.205969,0.117657,0.610784,0.0,0.117657
2016-10-27,1,0.231165,0.145573,0.632301,0.0,0.145573
2016-11-01,2,0.2621855,0.378864,0.7894034999999999,0.1125219020902153,0.4000902936793414
2016-11-02,2,0.0680555,0.1710855,0.662396,0.2259071815602594,0.25250059272700925
2016-11-03,1,0.281772,0.432669,1.0,0.0,0.432669
2016-11-17,1,0.397181,0.30876,0.607951,0.0,0.30876
2016-11-21,1,0.202088,0.265739,1.0,0.0,0.265739
2016-12-05,1,0.491612,0.128985,0.645528,0.0,0.128985
2016-12-07,1,0.303942,0.331806,0.645599,0.0,0.331806
