seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,profit_none_seed42,profit,none,0.005,20,1e-06,train,double_dqn,6.961284183200143,0.46372370394846896,0.2523943450438593,1.8372983113701944,-0.20777888029769565,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,validation,double_dqn,0.260572152022047,0.11840748441192028,0.27785783012235366,0.42614413406949875,-0.3694822512095546,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,test,double_dqn,-0.30765870394284733,-0.13452239290069412,0.28432424336022105,-0.47313022382781006,-0.5071457799153491,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,train,double_dqn,413.59665216254825,1.8271461186051186,0.222629209497268,8.207126651220223,-0.09778279667760259,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,validation,double_dqn,0.42379841382215355,0.15746382874328102,0.26719684950782807,0.5893176848204859,-0.2799675634196369,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,test,double_dqn,-0.4891398173600756,-0.26240429201173765,0.2631071734991112,-0.9973285354480236,-0.5165731551437573,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,train,double_dqn,143.78173853678385,1.356638075796254,0.199945321919984,6.785045345242767,-0.05701216966350742,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,validation,double_dqn,0.788666116787734,0.23153818020312178,0.2314172461382549,1.0005225801744897,-0.20262680814858958,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,test,double_dqn,-0.21443726816275732,-0.09501801609482396,0.21163661701170466,-0.4489677515945596,-0.3777719926731561,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,train,double_dqn,0.7821308275497394,0.1283541465511684,0.21738736997595395,0.5904397599794603,-0.30896839735696713,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,validation,double_dqn,-0.02056956635642071,0.0301309086968915,0.2663782537550188,0.11311324506467454,-0.5638855800881282,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,test,double_dqn,-0.4197894318185108,-0.23124848539326692,0.1535683587619581,-1.5058341917407514,-0.43142346574291246,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,train,double_dqn,2.3611065042069646,0.2521153119946431,0.2036524730820507,1.2379683299650721,-0.1700161329060531,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,validation,double_dqn,0.11251656414702049,0.0717874886355665,0.26653931734951886,0.2693317044157879,-0.5236740919260247,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,test,double_dqn,-0.5161810322146352,-0.28334834375352347,0.2573748834577628,-1.1009168414058674,-0.6050824914045572,profit_none
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,train,double_dqn,17.172972566680006,0.6892784964341268,0.2693994248883659,2.5585744910916235,-0.24912229347281978,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.32472931239842584,0.1426864510240189,0.30039386224024567,0.4749978909685668,-0.3166888745863031,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.4578843373314908,-0.2381973912771621,0.2710614131345781,-0.8787580221125038,-0.5038997858081639,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,train,double_dqn,69.0571775476943,1.0974085326762375,0.2263931194792769,4.847358149401223,-0.1402798678239825,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.714779833706743,0.21714618768083382,0.234642793338846,0.9254330149712059,-0.2592592044975972,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.37085997434067985,-0.18212091947662368,0.25426458940840446,-0.7162653671136947,-0.4630312342963203,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,train,double_dqn,35.69075063470969,0.8794413797902878,0.22142311946183968,3.971768539472012,-0.14405901214240568,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,validation,double_dqn,-0.11510784525239726,-0.00246314424431171,0.26439490020540646,-0.009316156409968995,-0.5229928925466142,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.3040814003899718,-0.14411006239141333,0.23530302029300879,-0.6124445925596776,-0.3592175614179306,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,train,double_dqn,0.8606032456464203,0.14221470543582448,0.2386270255985398,0.5959706578880256,-0.2914443454551101,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.371673721366802,0.14466895987191886,0.2678026332564695,0.5402073837465673,-0.3593406141323,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.5512617619246819,-0.31001620299634847,0.25770959496744283,-1.2029672509303104,-0.5512617619246819,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,train,double_dqn,7.080436885558257,0.47754152231492486,0.2782032895115313,1.716520042424341,-0.2640254964340981,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.2249920046996976,0.11703377625204925,0.3041744726860804,0.3847587051554867,-0.5125608702344232,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.34904682034082635,-0.17555305185246817,0.21509190469711628,-0.8161769365503312,-0.42018329482195294,profit_sparse
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,train,double_dqn,1.486156690314818,0.199379036434864,0.23889344705473878,0.8345939953270436,-0.22877205343844031,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,validation,double_dqn,0.18834285250622762,0.1005618576125531,0.2870569450149952,0.3503202390985523,-0.4856165826002651,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,test,double_dqn,-0.5390262162248456,-0.29339650656945937,0.2929725349492615,-1.001447137767611,-0.6360027257053446,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,train,double_dqn,0.7070688618902732,0.12644628768643806,0.24100560610783853,0.5246611882955925,-0.2891390525872447,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,validation,double_dqn,0.5317622215197682,0.1812389588802814,0.25887020950679424,0.7001151628284392,-0.3630666483567033,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,test,double_dqn,-0.4359829732664575,-0.22676008713714046,0.2500464386729631,-0.9068718928395578,-0.43873898666347155,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,train,double_dqn,23.240374149316835,0.759053496227545,0.23785469919404736,3.1912486858554416,-0.17574653279965136,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,validation,double_dqn,0.988871565442804,0.28988444875015973,0.2811714796057822,1.0309880972159537,-0.24936793190303208,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,test,double_dqn,-0.361622323771877,-0.16802817575015927,0.2896413407532689,-0.5801249756445995,-0.4624739340413524,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,train,double_dqn,10.55604521099666,0.5533954292796428,0.2383362279939468,2.3219106635089393,-0.247671120165312,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,validation,double_dqn,0.4795852605025448,0.19264051125828696,0.3249731870778723,0.5927889404984206,-0.25181421468510923,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,test,double_dqn,-0.41324855386927295,-0.2013280825809879,0.29669582992219373,-0.6785672809549924,-0.4988478250576571,profit_decay
46,profit_decay_seed46,profit,decay,0.005,20,1e-06,train,double_dqn,0.24184824802882465,0.062138842627720514,0.21882672125063907,0.28396368721600557,-0.2746421669082446,profit_decay
