episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,-70.09384663900315,7.099981639534235,0.71557,-0.15334090814191692,-0.06360368769263891,0.1885462117147097,-0.3373373939163413,-0.25875857908842215,cumulative_return
2,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,5.3704573740230535,4.583976992146525,0.4311400000000001,-0.1576828881235438,-0.04645833865103577,0.27801728259110664,-0.16710593750879968,-0.3337199577337513,cumulative_return
3,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,-12.002104294490417,4.302388792923473,0.14671,0.0,0.0,0.0,0.0,0.0,cumulative_return
4,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,-16.12408466178748,3.943807410572717,0.050000000000000044,0.06248872793822158,0.06043781486531419,0.23794606761643952,0.2539979562206414,-0.26003102215472307,cumulative_return
5,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,27.380813580856216,4.09365851343992,0.050000000000000044,0.030725993920643013,0.024838979431772712,0.13670188766577723,0.18170180277613715,-0.1351883843703564,cumulative_return
6,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,35.42626010724724,4.081076210311196,0.050000000000000044,0.06353623790259233,0.05306872263020157,0.20432390761861738,0.2597284050051425,-0.2140509322617774,cumulative_return
7,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,32.81346982882892,4.4382475034029545,0.050000000000000044,-0.01963507850893198,0.0022741742017660105,0.15623726808383803,0.014555900968171515,-0.1704327022894644,cumulative_return
8,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,10.332706432130124,4.671683385201749,0.050000000000000044,-0.10338386907298536,-0.04352206375874135,0.14328221746627584,-0.30375062955027954,-0.16639524252753113,cumulative_return
9,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,14.693362630414445,4.521067397309369,0.050000000000000044,-0.0237690207937441,-8.28297073277584e-05,0.1546366970670025,-0.0005356406913675163,-0.1789471585883886,cumulative_return
10,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,23.868006270280496,4.862469314652916,0.050000000000000044,-0.13449600256955618,-0.060425754414898725,0.14241079793312367,-0.42430598867422087,-0.2217019273499774,cumulative_return
11,42,both_decay_eta0p001_seed42,price_sentiment,differential_sharpe,decay,0.001,20,1e-06,-2.488115583082047,4.752970905883677,0.050000000000000044,-0.16495089088469572,-0.07533374096262169,0.15549940947843383,-0.48446319645393704,-0.21339990015187282,cumulative_return
