episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.7271421738062194,0.00158632700188322,0.71557,0.0,sharpe_ratio,1,0,0.36566922216101205,0.10827306144044835,0.31641376742947025,0.3421882123526208,-0.5269273972599547,-0.09120097034233787,0.008431782517834163,0.27685810607362693,0.030455248854414387,-0.2919684271831381
2,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.631484999622291,0.0004897239766749799,0.4311400000000001,0.0,sharpe_ratio,0,1,2.5484909114270615,0.3683639707831621,0.4486806738052941,0.8209936203827098,-0.7262848741071238,-0.2779812555567408,-0.00011877013408090331,0.45138372001966137,-0.00026312454085789785,-0.6859716448988122
3,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.119450855393887,0.000663305412459703,0.14671,0.0,sharpe_ratio,1,0,8.765684333930247,0.6256786684498192,0.4531368434131126,1.3807720063923492,-0.7271828148791446,0.6026427262965337,0.25906162656161147,0.40919917328971167,0.6330942080818837,-0.4013114613228399
4,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,3.2434992683970143,0.0008570272119508331,0.050000000000000044,0.0,sharpe_ratio,0,1,9.027580475214224,0.5875189830005088,0.38616046336279497,1.521437430140379,-0.6307252050693578,-0.21843024150184465,0.04764888696032776,0.4979265434054041,0.0956946111658337,-0.6329513550791538
5,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,3.868006398729827,0.0009248529691860371,0.050000000000000044,0.0,sharpe_ratio,0,2,40.64746578785881,1.034148273754989,0.40947653956568353,2.5255372990400655,-0.32264755825976876,-0.10903605377432557,0.06709272427432333,0.4508893866958759,0.14880085061655546,-0.6192471247679614
6,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.3956298541946275,0.0010521594053457828,0.050000000000000044,0.0,sharpe_ratio,0,3,26.67089998992442,0.9327757566215797,0.44754630863957107,2.084199419400832,-0.4427179391338585,-0.31312897758014047,0.01991237667807999,0.5235006763150738,0.038036964571361014,-0.7428285561552044
7,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.90202142553644,0.0010470430984621546,0.050000000000000044,0.0,sharpe_ratio,0,4,53.0941043038135,1.1064124597032854,0.38556776720579455,2.8695667890535677,-0.3585197518215446,0.06956065797822109,0.13448782294383976,0.460110139367888,0.29229484733503774,-0.5998129437508382
8,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.281003645986527,0.0010488093357051691,0.050000000000000044,0.0,sharpe_ratio,0,5,109.41008809695596,1.400821490607385,0.41303757647989187,3.3915110158883617,-0.34340077692453197,0.0035609944218448764,0.14585101663501354,0.520457215415445,0.2802363235921146,-0.5800256042511444
9,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.542959870494455,0.0009810482235987775,0.050000000000000044,0.0,sharpe_ratio,0,6,161.16897842864546,1.5580775554790733,0.41087528293720804,3.7920936600053072,-0.3474911315646352,0.1559463364519884,0.19617910646344439,0.517860341059076,0.37882627980786976,-0.5425848166186149
10,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.592862663984318,0.0010606136936513967,0.050000000000000044,0.0,sharpe_ratio,0,7,211.0873543032833,1.6792446502648133,0.413045996632817,4.065514891692804,-0.1970339213452319,-0.28253502571227296,0.021292942787142666,0.5000619410116093,0.04258061060209406,-0.6124223774907372
11,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.003142623617576,0.0010207192210198125,0.050000000000000044,0.0,sharpe_ratio,0,8,243.12739888410255,1.7358511557229308,0.40636074684580603,4.271699885376973,-0.2080244174113911,0.26629314281345007,0.23654361708232696,0.5274190286002265,0.4484927624058526,-0.5228473268891826
12,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,6.383573250917529,0.0010150182695660252,0.050000000000000044,0.0,sharpe_ratio,1,0,280.49756735666017,1.7695600460422196,0.3765300327499954,4.699651799667078,-0.179079752685525,1.2594735678543305,0.43098362883500707,0.45724024751106146,0.9425758803627207,-0.5249951410227001
13,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.470006313119625,0.0010217493564063408,0.050000000000000044,0.0,sharpe_ratio,0,1,498.62882859048057,2.0604220156413717,0.3858223448909754,5.340338741198621,-0.2355952438163591,0.7328555840196862,0.3539930065088073,0.5137574871011442,0.6890274407604227,-0.6798632675007247
14,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.597929760990807,0.0010878286112452008,0.050000000000000044,0.0,sharpe_ratio,0,2,471.6884073837049,2.0407783442783485,0.392324851781799,5.201756490851558,-0.2873069335512174,-0.006412605097563695,0.12787551775880113,0.49503742184911315,0.2583148507867299,-0.6174192929754481
15,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.654239837896174,0.0010703815650114008,0.050000000000000044,0.0,sharpe_ratio,0,3,645.9214461058396,2.181655513339104,0.3724852840532486,5.857024711417123,-0.1717583947927872,0.016177627698068964,0.12786617990229465,0.48106533703299303,0.2657979489665978,-0.6068028459760311
16,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.9759639999071865,0.0011599845046540828,0.050000000000000044,0.0,sharpe_ratio,0,4,164.84511549863694,1.5797938318041802,0.42213971841100834,3.7423482389923897,-0.3929668242847414,-0.1198033281291685,0.1156682920780785,0.5462719107730973,0.21174124057446392,-0.669126159000795
17,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,6.767919948097106,0.0012265709404175405,0.050000000000000044,0.0,sharpe_ratio,0,5,705.0712779245005,2.2375449259399787,0.3806376391609624,5.878412158272597,-0.21466964391535948,0.4138152790476983,0.25666963503226636,0.4918971557418619,0.5217953225307154,-0.49288009474666894
