seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.12014994199084683,-0.011524494981216216,0.3289131560509871,-0.03503810890261174,-0.3118547201038684,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,train,double_dqn,4.614335161153131,0.35510059589851983,0.16460090021123186,2.1573429759060874,-0.09840576446019622,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.6382447186759899,0.1938030363237464,0.21429463090006823,0.9043765376190053,-0.1599344958164386,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,test,double_dqn,-0.5028180438087346,-0.2370824512923898,0.39741586065846557,-0.5965601143838988,-0.7303021029667418,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,train,double_dqn,6.850850145317695,0.4406611593738188,0.19080978883748348,2.3094263772239625,-0.13646187767706142,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.5148865793213315,0.16576332489587764,0.21815120530501947,0.759855186975048,-0.23494711463594065,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,test,double_dqn,0.07890467624396358,0.061572438627379045,0.20742886731487337,0.29683640191658167,-0.24116554001636792,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,train,double_dqn,6.76140573518171,0.4528640239701507,0.23905467267573102,1.8943951979739977,-0.18315611848804747,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.2341263134113616,0.0865755514839961,0.18789297104850994,0.4607705706119477,-0.24277329938035042,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,test,double_dqn,0.2627509841700997,0.1790063243855482,0.3111927346534658,0.5752265540032092,-0.20545958909714468,profit_sparse
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,train,double_dqn,2.089018452322401,0.2419224974205776,0.23268225359819,1.0397118545978337,-0.24804752053686585,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,validation,double_dqn,0.03790064037231189,0.046052621387146164,0.2583984365476663,0.1782232973327256,-0.6043472395519723,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,test,double_dqn,0.22349778969929912,0.24075460376632307,0.47496239188055467,0.5068919305654603,-0.40294756321450853,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,train,double_dqn,3.6482992907467198,0.3285899650672923,0.225998265032517,1.453949060272716,-0.22320016583097624,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,validation,double_dqn,0.23820642100614653,0.09889704417891343,0.2349785546461378,0.4208768937567339,-0.430582838154981,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,test,double_dqn,-0.27773482557308604,-0.10628848013612724,0.31122798104295846,-0.3415132526964417,-0.51294085680727,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,train,double_dqn,1.0704605785983907,0.1618391469242766,0.23617561623047031,0.6852491781638753,-0.2684421962823702,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,validation,double_dqn,0.029234649482088315,0.04321745657014198,0.25747219468669624,0.16785290785566545,-0.4840475036440377,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,test,double_dqn,0.014799462292243604,0.07689464165728843,0.37240194601380716,0.20648292115647937,-0.47665045264301387,profit_decay
